time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.064,0.064,0.064,0.064,0.0,0.373,0.373,0.373,0.373,0.0,12.682,12.682,12.682,12.682,0.0,0.988,0.997,0.9926250000000001,0.9924999999999999,0.002595067436503339,0.489,0.49,0.4895,0.4895,0.0005000000000000004,4096,8,8,1,2,4096,14336,True,1
0.062,0.062,0.062,0.062,0.0,0.373,0.373,0.373,0.373,0.0,12.677,12.677,12.677,12.677,0.0,0.99,0.993,0.99125,0.991,0.0009682458365518551,0.489,0.491,0.49,0.49,0.0007071067811865482,4096,8,8,1,2,4096,14336,True,1
0.063,0.063,0.063,0.063,0.0,0.373,0.373,0.373,0.373,0.0,12.676,12.676,12.676,12.676,0.0,0.99,0.993,0.99125,0.991,0.0011989578808281809,0.49,0.491,0.490625,0.491,0.0004841229182759276,4064,8,8,1,2,4096,14336,True,1
0.07100000000000001,0.07100000000000001,0.07100000000000001,0.07100000000000001,0.0,0.439,0.439,0.439,0.439,0.0,15.432,15.432,15.432,15.432,0.0,1.21,1.212,1.2108750000000001,1.211,0.000780624749799807,0.6,0.601,0.600375,0.6,0.0004841229182759276,4032,8,8,1,2,4096,14336,True,1
0.06,0.06,0.06,0.06,0.0,0.368,0.368,0.368,0.368,0.0,12.833,12.833,12.833,12.833,0.0,1.0050000000000001,1.0090000000000001,1.007125,1.0075,0.0013635890143294388,0.495,0.496,0.495375,0.495,0.0004841229182759276,4000,8,8,1,2,4096,14336,True,1
0.062,0.062,0.062,0.062,0.0,0.362,0.362,0.362,0.362,0.0,12.675,12.675,12.675,12.675,0.0,1.0070000000000001,1.01,1.0081250000000002,1.008,0.0009270248108869381,0.47300000000000003,0.47600000000000003,0.47450000000000003,0.47450000000000003,0.0008660254037844393,3968,8,8,1,2,4096,14336,True,1
0.062,0.062,0.062,0.062,0.0,0.364,0.364,0.364,0.364,0.0,12.416,12.416,12.416,12.416,0.0,0.984,0.985,0.98475,0.985,0.00043301270189221973,0.466,0.466,0.466,0.466,0.0,3936,8,8,1,2,4096,14336,True,1
0.07100000000000001,0.07100000000000001,0.07100000000000001,0.07100000000000001,0.0,0.427,0.427,0.427,0.427,0.0,15.164,15.164,15.164,15.164,0.0,1.209,1.212,1.210375,1.21,0.0008569568250501292,0.5700000000000001,0.5710000000000001,0.570875,0.5710000000000001,0.0003307189138830741,3904,8,8,1,2,4096,14336,True,1
0.058,0.058,0.058,0.058,0.0,0.358,0.358,0.358,0.358,0.0,12.412,12.412,12.412,12.412,0.0,0.984,0.986,0.98525,0.985,0.0006614378277661482,0.466,0.468,0.46725000000000005,0.467,0.0006614378277661482,3872,8,8,1,2,4096,14336,True,1
0.06,0.06,0.06,0.06,0.0,0.342,0.342,0.342,0.342,0.0,11.366,11.366,11.366,11.366,0.0,0.854,0.859,0.856625,0.857,0.0017275343701356582,0.466,0.466,0.466,0.466,0.0,3840,8,8,1,2,4096,14336,True,1
0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.0,0.368,0.368,0.368,0.368,0.0,11.447000000000001,11.447000000000001,11.447000000000001,11.447000000000001,0.0,0.864,0.871,0.86775,0.8674999999999999,0.002331844763272206,0.465,0.467,0.466,0.466,0.0005000000000000004,3808,8,8,1,2,4096,14336,True,1
0.062,0.062,0.062,0.062,0.0,0.429,0.429,0.429,0.429,0.0,13.662,13.662,13.662,13.662,0.0,1.027,1.028,1.0271249999999998,1.027,0.0003307189138831108,0.5700000000000001,0.5710000000000001,0.570125,0.5700000000000001,0.0003307189138830741,3776,8,8,1,2,4096,14336,True,1
0.056,0.056,0.056,0.056,0.0,0.356,0.356,0.356,0.356,0.0,11.445,11.445,11.445,11.445,0.0,0.866,0.87,0.8683749999999999,0.869,0.0012183492931011216,0.465,0.466,0.4655,0.4655,0.0005000000000000004,3744,8,8,1,2,4096,14336,True,1
0.056,0.056,0.056,0.056,0.0,0.359,0.359,0.359,0.359,0.0,11.478,11.478,11.478,11.478,0.0,0.869,0.871,0.869375,0.869,0.0006959705453537533,0.468,0.47000000000000003,0.46900000000000003,0.46900000000000003,0.0007071067811865482,3712,8,8,1,2,4096,14336,True,1
0.055,0.055,0.055,0.055,0.0,0.358,0.358,0.358,0.358,0.0,11.345,11.345,11.345,11.345,0.0,0.855,0.859,0.857125,0.857,0.0013635890143294655,0.464,0.466,0.465,0.465,0.0005000000000000004,3680,8,8,1,2,4096,14336,True,1
0.06,0.06,0.06,0.06,0.0,0.421,0.421,0.421,0.421,0.0,13.635,13.635,13.635,13.635,0.0,1.027,1.028,1.0271249999999998,1.027,0.0003307189138831108,0.5680000000000001,0.5700000000000001,0.5687500000000001,0.5690000000000001,0.0006614378277661482,3648,8,8,1,2,4096,14336,True,1
0.054,0.054,0.054,0.054,0.0,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,11.33,11.33,11.33,11.33,0.0,0.853,0.859,0.855375,0.855,0.002057759704144293,0.465,0.467,0.46562500000000007,0.4655,0.0006959705453537533,3616,8,8,1,2,4096,14336,True,1
0.054,0.054,0.054,0.054,0.0,0.343,0.343,0.343,0.343,0.0,11.212,11.212,11.212,11.212,0.0,0.847,0.85,0.8487499999999999,0.8485,0.0010897247358851695,0.457,0.46,0.45837500000000003,0.458,0.0008569568250501313,3584,8,8,1,2,4096,14336,True,1
0.053,0.053,0.053,0.053,0.0,0.341,0.341,0.341,0.341,0.0,11.301,11.301,11.301,11.301,0.0,0.855,0.862,0.858875,0.859,0.0019645292056877156,0.458,0.461,0.4595,0.46,0.0010000000000000009,3552,8,8,1,2,4096,14336,True,1
0.057,0.057,0.057,0.057,0.0,0.402,0.402,0.402,0.402,0.0,13.541,13.541,13.541,13.541,0.0,1.026,1.026,1.026,1.026,0.0,0.559,0.56,0.5595000000000001,0.5595000000000001,0.0005000000000000004,3520,8,8,1,2,4096,14336,True,1
0.051000000000000004,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0,0.338,0.338,0.338,0.338,0.0,11.317,11.317,11.317,11.317,0.0,0.857,0.86,0.8585,0.8585,0.0008660254037844395,0.462,0.464,0.46337500000000004,0.4635,0.0006959705453537533,3488,8,8,1,2,4096,14336,True,1
0.05,0.05,0.05,0.05,0.0,0.335,0.335,0.335,0.335,0.0,11.312,11.312,11.312,11.312,0.0,0.859,0.862,0.8607499999999999,0.861,0.0009682458365518551,0.464,0.465,0.46437500000000004,0.464,0.0004841229182759276,3456,8,8,1,2,4096,14336,True,1
0.05,0.05,0.05,0.05,0.0,0.336,0.336,0.336,0.336,0.0,11.035,11.035,11.035,11.035,0.0,0.835,0.84,0.8358749999999999,0.835,0.001615355997915012,0.456,0.458,0.4565,0.456,0.0007071067811865482,3424,8,8,1,2,4096,14336,True,1
0.058,0.058,0.058,0.058,0.0,0.4,0.4,0.4,0.4,0.0,13.454,13.454,13.454,13.454,0.0,1.025,1.026,1.02525,1.025,0.0004330127018922678,0.557,0.56,0.5578750000000001,0.5575000000000001,0.0010532687216470457,3392,8,8,1,2,4096,14336,True,1
0.049,0.049,0.049,0.049,0.0,0.332,0.332,0.332,0.332,0.0,11.058,11.058,11.058,11.058,0.0,0.837,0.843,0.838625,0.8374999999999999,0.0022878756522153928,0.456,0.457,0.45637500000000003,0.456,0.0004841229182759276,3360,8,8,1,2,4096,14336,True,1
0.049,0.049,0.049,0.049,0.0,0.325,0.325,0.325,0.325,0.0,11.01,11.01,11.01,11.01,0.0,0.834,0.838,0.8354999999999999,0.835,0.0013228756555322965,0.455,0.456,0.45537500000000003,0.455,0.0004841229182759276,3328,8,8,1,2,4096,14336,True,1
0.049,0.049,0.049,0.049,0.0,0.323,0.323,0.323,0.323,0.0,11.027000000000001,11.027000000000001,11.027000000000001,11.027000000000001,0.0,0.835,0.837,0.836625,0.837,0.0006959705453537533,0.454,0.458,0.45637500000000003,0.4565,0.0011110243021644497,3296,8,8,1,2,4096,14336,True,1
0.056,0.056,0.056,0.056,0.0,0.384,0.384,0.384,0.384,0.0,13.433,13.433,13.433,13.433,0.0,1.024,1.025,1.02475,1.025,0.00043301270189217164,0.556,0.558,0.5571250000000001,0.557,0.0005994789404140904,3264,8,8,1,2,4096,14336,True,1
