time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.012,0.016,0.015142857142857145,0.015,0.000832993127835043,0.026000000000000002,0.026000000000000002,0.026000000000000006,0.026000000000000002,3.469446951953614e-18,0.058,0.059000000000000004,0.05805000000000001,0.058,0.00021794494717703385,0.051000000000000004,0.053,0.05150000000000001,0.051000000000000004,0.0005916079783099613,0.03,0.03,0.030000000000000006,0.03,6.938893903907228e-18,0.026000000000000002,0.027,0.026250000000000006,0.026000000000000002,0.0004330127018922182,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,512,1
0.012,0.016,0.014952380952380955,0.015,0.0007221786137191953,0.027,0.029,0.027950000000000003,0.028,0.0003840572873934308,0.058,0.059000000000000004,0.05805000000000001,0.058,0.00021794494717703385,0.05,0.053,0.05170000000000001,0.052000000000000005,0.0006403124237432848,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.028,0.029,0.028450000000000003,0.028,0.0004974937185533104,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.02,0.021,0.020450000000000003,0.02,0.0004974937185533104,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,504,1
0.012,0.016,0.014904761904761907,0.015,0.0006834619092574916,0.025,0.026000000000000002,0.025950000000000008,0.026000000000000002,0.00021794494717703385,0.057,0.058,0.05790000000000001,0.058,0.0003000000000000003,0.049,0.052000000000000005,0.05110000000000001,0.051000000000000004,0.0007681145747868615,0.03,0.03,0.030000000000000006,0.03,6.938893903907228e-18,0.026000000000000002,0.027,0.026450000000000008,0.026000000000000002,0.0004974937185533088,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.012,0.01105,0.011,0.0002179449471770339,0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,496,1
0.012,0.015,0.01485714285714286,0.015,0.0006388765649999398,0.028,0.028,0.028000000000000004,0.028,3.469446951953614e-18,0.057,0.058,0.057950000000000015,0.058,0.00021794494717703385,0.051000000000000004,0.052000000000000005,0.051050000000000005,0.051000000000000004,0.0002179449471770339,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.028,0.029,0.028300000000000002,0.028,0.0004582575694955844,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.02,0.021,0.020150000000000005,0.02,0.00035707142142714284,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,488,1
0.012,0.015,0.01466666666666667,0.015,0.0007126966450997981,0.025,0.026000000000000002,0.025800000000000007,0.026000000000000002,0.0004000000000000003,0.058,0.058,0.05800000000000001,0.058,6.938893903907228e-18,0.049,0.053,0.05060000000000001,0.051000000000000004,0.000916515138991168,0.03,0.03,0.030000000000000006,0.03,6.938893903907228e-18,0.025,0.027,0.025950000000000008,0.026000000000000002,0.0004974937185533097,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.019,0.02,0.019950000000000002,0.02,0.00021794494717703385,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,480,1
0.011,0.015,0.013952380952380954,0.014,0.0007221786137191953,0.027,0.028,0.027950000000000003,0.028,0.00021794494717703385,0.058,0.058,0.05800000000000001,0.058,6.938893903907228e-18,0.051000000000000004,0.055,0.051600000000000014,0.051000000000000004,0.0011999999999999988,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.027,0.029,0.028050000000000002,0.028,0.0003840572873934307,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.011,0.011,0.011000000000000001,0.011,1.734723475976807e-18,0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,472,1
0.011,0.014,0.013857142857142861,0.014,0.0006388765649999401,0.024,0.026000000000000002,0.025200000000000007,0.025,0.0006782329983125276,0.057,0.058,0.05770000000000001,0.058,0.00045825756949558437,0.05,0.052000000000000005,0.05065000000000001,0.0505,0.0007262919523166983,0.03,0.03,0.030000000000000006,0.03,6.938893903907228e-18,0.025,0.026000000000000002,0.025300000000000007,0.025,0.00045825756949558437,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.01,0.011,0.010750000000000001,0.011,0.00043301270189221897,0.02,0.02,0.020000000000000004,0.02,3.469446951953614e-18,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,464,1
0.011,0.014,0.013809523809523813,0.014,0.0006632565846278152,0.026000000000000002,0.028,0.027250000000000007,0.027,0.0006982120021884467,0.058,0.058,0.05800000000000001,0.058,6.938893903907228e-18,0.051000000000000004,0.054,0.05130000000000001,0.051000000000000004,0.0007141428428542844,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.026000000000000002,0.028,0.02765,0.028,0.0005722761571129799,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.01,0.011,0.0108,0.011,0.0003999999999999997,0.019,0.021,0.020000000000000004,0.02,0.0003162277660168382,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,456,1
0.011,0.014,0.013857142857142861,0.014,0.0006388765649999401,0.024,0.025,0.024150000000000005,0.024,0.00035707142142714284,0.057,0.058,0.057600000000000005,0.058,0.0004898979485566361,0.05,0.053,0.051050000000000005,0.051000000000000004,0.0006689544080129822,0.03,0.03,0.030000000000000006,0.03,6.938893903907228e-18,0.024,0.025,0.024700000000000007,0.025,0.00045825756949558437,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.01,0.011,0.010700000000000001,0.011,0.0004582575694955836,0.019,0.02,0.019950000000000002,0.02,0.00021794494717703388,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,448,1
0.011,0.014,0.013761904761904767,0.014,0.0006834619092574916,0.025,0.027,0.026050000000000007,0.026000000000000002,0.0003840572873934299,0.058,0.059000000000000004,0.05805000000000001,0.058,0.00021794494717703385,0.05,0.052000000000000005,0.050850000000000006,0.051000000000000004,0.0004769696007084733,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.025,0.027,0.026250000000000006,0.026000000000000002,0.0005361902647381794,0.031,0.031,0.031000000000000007,0.031,6.938893903907228e-18,0.01,0.011,0.01055,0.011,0.0004974937185533095,0.019,0.02,0.019950000000000002,0.02,0.00021794494717703385,0.004,0.004,0.004000000000000001,0.004,8.673617379884035e-19,16,16,2048,1408,151936,True,440,1
