time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.041,0.041,0.041,0.041,0.0,0.117,0.117,0.117,0.117,0.0,2.31,2.31,2.31,2.31,0.0,0.013000000000000001,0.016,0.013516666666666668,0.013000000000000001,0.0005913731666403386,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,1024,60,60,1,4,2048,1408,True,1
0.041,0.041,0.041,0.041,0.0,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.11800000000000001,0.0,2.46,2.46,2.46,2.46,0.0,0.013000000000000001,0.016,0.013983333333333335,0.014,0.00034115815817431196,0.01,0.011,0.010083333333333335,0.01,0.0002763853991962831,1016,60,60,1,4,2048,1408,True,1
0.039,0.039,0.039,0.039,0.0,0.116,0.116,0.116,0.116,0.0,2.323,2.323,2.323,2.323,0.0,0.013000000000000001,0.016,0.01345,0.013000000000000001,0.0005894913061275795,0.01,0.012,0.010050000000000002,0.01,0.00028431203515386636,1008,60,60,1,4,2048,1408,True,1
0.04,0.04,0.04,0.04,0.0,0.117,0.117,0.117,0.117,0.0,2.437,2.437,2.437,2.437,0.0,0.013000000000000001,0.016,0.014033333333333335,0.014,0.00036362373715452366,0.01,0.011,0.010183333333333334,0.01,0.0003869395588747963,1000,60,60,1,4,2048,1408,True,1
0.04,0.04,0.04,0.04,0.0,0.117,0.117,0.117,0.117,0.0,2.305,2.305,2.305,2.305,0.0,0.013000000000000001,0.016,0.01345,0.013000000000000001,0.0005894913061275795,0.01,0.011,0.010033333333333335,0.01,0.00017950549357114998,992,60,60,1,4,2048,1408,True,1
0.041,0.041,0.041,0.041,0.0,0.113,0.113,0.113,0.113,0.0,2.459,2.459,2.459,2.459,0.0,0.013000000000000001,0.016,0.014000000000000002,0.014,0.0003651483716701106,0.01,0.012,0.010116666666666668,0.01,0.0003693086634360055,984,60,60,1,4,2048,1408,True,1
0.04,0.04,0.04,0.04,0.0,0.114,0.114,0.114,0.114,0.0,2.311,2.311,2.311,2.311,0.0,0.013000000000000001,0.015,0.013566666666666668,0.014,0.000528099317258495,0.01,0.011,0.010050000000000002,0.01,0.00021794494717703347,976,60,60,1,4,2048,1408,True,1
0.04,0.04,0.04,0.04,0.0,0.113,0.113,0.113,0.113,0.0,2.419,2.419,2.419,2.419,0.0,0.013000000000000001,0.016,0.014000000000000002,0.014,0.0003651483716701106,0.01,0.011,0.010100000000000001,0.01,0.00029999999999999976,968,60,60,1,4,2048,1408,True,1
0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.112,0.112,0.112,0.112,0.0,2.347,2.347,2.347,2.347,0.0,0.013000000000000001,0.015,0.013883333333333334,0.014,0.0004119735698102755,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,960,60,60,1,4,2048,1408,True,1
0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.115,0.115,0.115,0.115,0.0,2.441,2.441,2.441,2.441,0.0,0.013000000000000001,0.015,0.014000000000000002,0.014,0.00025819888974716094,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,952,60,60,1,4,2048,1408,True,1
0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0.111,0.111,0.111,0.111,0.0,2.322,2.322,2.322,2.322,0.0,0.013000000000000001,0.015,0.013983333333333335,0.014,0.00028819360776317617,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,944,60,60,1,4,2048,1408,True,1
