time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend,is_mixed_batch,mode,seq_lens,total_tokens,max_seq_len,min_seq_len,avg_seq_len,equal_seq_len,seq_len_variance,seq_len_std,seq_len_cv,is_chunked_prefill_sample,chunk_start_token,chunk_end_token,total_prefill_tokens,profiling_precision,model_arch,quant_signature,measurement_type
0.0,0.0,0.0,0.0,0.0,0.002497,0.002497,0.002497,0.002497,0.0,0.0,0.0,0.0,0.0,0.0,0.007776,0.007776,0.007776,0.007776,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,1,0,0,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002528,0.002528,0.002528,0.002528,0.0,0.0,0.0,0.0,0.0,0.0,0.0076479999999999,0.0076479999999999,0.0076479999999999,0.0076479999999999,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,2,0,0,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.00256,0.00256,0.00256,0.00256,0.0,0.0,0.0,0.0,0.0,0.0,0.007743,0.007743,0.007743,0.007743,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,4,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1]",4,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002527,0.002527,0.002527,0.002527,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,8,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1]",8,1,1,1.0,2,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002496,0.002496,0.002496,0.002496,0.0,0.0,0.0,0.0,0.0,0.0,0.008096,0.008096,0.008096,0.008096,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,16,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",16,1,1,1.0,4,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002784,0.002784,0.002784,0.002784,0.0,0.0,0.0,0.0,0.0,0.0,0.010432,0.010432,0.010432,0.010432,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,32,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32,1,1,1.0,5,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.003072,0.003072,0.003072,0.003072,0.0,0.0,0.0,0.0,0.0,0.0,0.01696,0.01696,0.01696,0.01696,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,64,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64,1,1,1.0,8,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.00368,0.00368,0.00368,0.00368,0.0,0.0,0.0,0.0,0.0,0.0,0.030336,0.030336,0.030336,0.030336,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,128,0,0,False,FLASHINFER,False,even,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",128,1,1,1.0,11,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002464,0.002464,0.002464,0.002464,0.0,0.0,0.0,0.0,0.0,0.0,0.00752,0.00752,0.00752,0.00752,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,1,0,32,False,FLASHINFER,False,even,[1],1,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
0.0,0.0,0.0,0.0,0.0,0.002496,0.002496,0.002496,0.002496,0.0,0.0,0.0,0.0,0.0,0.0,0.007488,0.007488,0.007488,0.007488,0.0,0.0,0.0,0.0,0.0,0.0,16384,128,8,16,1,12512,2,0,32,False,FLASHINFER,False,even,"[1, 1]",2,1,1,1.0,1,0.0,0.0,0.0,False,0,0,0,BF16,generic,method=fp8|act=none|serialized=False|block=none,KERNEL_ONLY
