time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.001824,0.002944,0.0027428095238095,0.0027519999999999,0.0002239070000495,21.0,0.00256,0.0027519999999999,0.0026368,0.002624,4.9985597925802576e-05,20.0,0.0240959999999999,0.0249919999999999,0.0245837999999999,0.0245914999999999,0.0001971003805171,20,0.003872,0.004256,0.00408315,0.00408,0.0001048342858992,20,0.010624,0.011808,0.011152,0.0109275,0.0004648236224634,20,0.002816,0.003168,0.0029648,0.002944,8.049509301814627e-05,20.0,32,4,2048,768,151936,True,True,False,128,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.001728,0.002592,0.0024137619047619,0.002432,0.000170394473631,21.0,0.002431,0.002816,0.00254705,0.0025434999999999,8.793888502818306e-05,20.0,0.0220479999999999,0.023296,0.02243025,0.0223999999999999,0.0002977523929374,20,0.003776,0.004096,0.00392635,0.003936,8.944231381175245e-05,20,0.011392,0.012032,0.0115711499999999,0.011568,0.0001396156420319,20,0.00256,0.0028799999999999,0.00274385,0.002751,8.688916790946944e-05,20.0,32,4,2048,768,151936,True,True,False,64,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.001728,0.0024,0.0022674761904761,0.0022719999999999,0.0001415269178662,21.0,0.002368,0.0027519999999999,0.00248645,0.002432,0.0001099893062983,20.0,0.020991,0.0217279999999999,0.0212959499999999,0.0212484999999999,0.0002372826321077,20,0.003744,0.004032,0.0038351,0.0038079999999999,8.726104514615902e-05,20,0.011104,0.011969,0.01134405,0.0112805,0.0001940604222916,20,0.002656,0.002912,0.00273275,0.0027359999999999,6.507140308922176e-05,20.0,32,4,2048,768,151936,True,True,False,32,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.008096,0.012352,0.0115808571428571,0.011776,0.0008047626260915,21.0,0.0024,0.002592,0.0024655999999999,0.002464,5.2067648304873545e-05,20.0,0.020191,0.021472,0.02067335,0.0205755,0.0002921508642807,20,0.003616,0.004031,0.0038111,0.003792,0.0001134763852085,20,0.01088,0.011616,0.0111534499999999,0.011136,0.0001611351839295,20,0.002559,0.002816,0.00267355,0.002656,6.680828915636132e-05,20.0,32,4,2048,768,151936,True,True,False,16,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.005024,0.007296,0.0068723809523809,0.0069749999999999,0.0004397852805296,21.0,0.002336,0.00272,0.0025087499999999,0.002528,0.000110623177951,20.0,0.019872,0.021087,0.02039485,0.020352,0.0003528413630797,20,0.003488,0.004,0.0037423,0.003728,0.0001216569356839,20,0.01072,0.011263,0.01095515,0.01096,0.0001231090065754,20,0.002336,0.002784,0.0025183,0.002528,0.0001132025176398,20.0,32,4,2048,768,151936,True,True,False,8,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.00352,0.004736,0.0045028095238095,0.0045439999999999,0.0002340817152899,21.0,0.002368,0.00272,0.00250725,0.002528,0.0001172002026448,20.0,0.019808,0.02128,0.0201903,0.020112,0.0003255183712173,20,0.003584,0.003936,0.0037375,0.00376,8.790591561436573e-05,20,0.010624,0.011456,0.0109471,0.0109435,0.0001983052949368,20,0.002336,0.002784,0.00250245,0.002512,0.0001332908380197,20.0,32,4,2048,768,151936,True,True,False,4,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.002816,0.003488,0.0032960476190476,0.003296,0.0001294797193865,21.0,0.002368,0.002784,0.00253125,0.002528,0.0001246783361294,20.0,0.018945,0.020416,0.0194416,0.0192955,0.000381539434397,20,0.00336,0.003744,0.0035248,0.00352,0.0001189262796861,20,0.010719,0.011488,0.01087835,0.0108475,0.0001719273901971,20,0.002368,0.00272,0.00251365,0.002528,0.0001220054404524,20.0,32,4,2048,768,151936,True,True,False,2,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
0.002464,0.002912,0.0027641904761904,0.0027519999999999,0.0001009401609854,21.0,0.002368,0.002785,0.0025456,0.0025275,0.0001242092589141,20.0,0.013472,0.014207,0.01379175,0.0137755,0.000195698460648,20,0.003456,0.003936,0.0036432,0.003664,0.0001252811238774,20,0.0106229999999999,0.0111679999999999,0.01078425,0.010721,0.0001509025761874,20,0.0024,0.002912,0.0026431999999999,0.002688,0.0001388962202509,20.0,32,4,2048,768,151936,True,True,False,1,1,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.017887,0.018655,0.0182301,0.018191,0.0001765043625523,20,0.002848,0.003104,0.00294875,0.002944,6.657242296927469e-05,20,0.006208,0.006591,0.00639985,0.0063835,9.650040155356872e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,128,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.01584,0.01664,0.01627685,0.016289,0.0002439033158856,20,0.002688,0.0027519999999999,0.00273275,0.0027359999999999,2.1257645683376828e-05,20,0.005536,0.005632,0.0055744,0.005568,2.784133617483179e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,64,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.015264,0.015938,0.0156144499999999,0.0156315,0.0002146512229175,20,0.00272,0.0028799999999999,0.0027806999999999,0.0027679999999999,4.520630487000674e-05,20,0.005376,0.0055039999999999,0.00543205,0.005424,3.4792923131004494e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,32,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014912,0.01568,0.0153214999999999,0.0153115,0.0002360602677283,20,0.002624,0.002784,0.00270725,0.0026885,4.3385337384881486e-05,20,0.005279,0.005377,0.0053392,0.005344,3.25385924710951e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,16,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
,,,,,,,,,,,,0.014624,0.015264,0.0149262,0.0148805,0.0002230485597353,20,0.002464,0.0027519999999999,0.0026016,0.0025755,0.0001016697595157,20,0.005279,0.005408,0.0053343999999999,0.0053435,3.058169387068022e-05,20,,,,,,,32,4,2048,768,151936,True,True,False,8,2,2048,768,generic,False,,,KERNEL_ONLY,BF16,none,generic
