time_stats.moe_gating_linear.min,time_stats.moe_gating_linear.max,time_stats.moe_gating_linear.mean,time_stats.moe_gating_linear.median,time_stats.moe_gating_linear.std,time_stats.moe_gating_linear.count,time_stats.moe_gating_routing_topk.min,time_stats.moe_gating_routing_topk.max,time_stats.moe_gating_routing_topk.mean,time_stats.moe_gating_routing_topk.median,time_stats.moe_gating_routing_topk.std,time_stats.moe_gating_routing_topk.count,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_shuffling.count,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_grouped_gemm.count,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,routing_runtime_path,routing_assignment_policy,routing_weight_policy,routing_uses_router_logits,gating_runtime_context,gating_runtime_context_impl,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers,total_routed_tokens,model_expansion_ratio,tokens_per_expert_avg,tokens_to_experts_ratio,expert_utilization,min_load_ratio,load_imbalance_cv,max_load_ratio,load_entropy,load_gini_coefficient,load_distribution,seed,moe_grouped_gemm_backend,measurement_type,profiling_precision,model_arch,quant_signature,model_architecture_profile
0.004896,0.004896,0.004896,0.004896,0.0,1,0.052158,0.052158,0.052158,0.052158,0.0,1,0.004288,0.004288,0.004288,0.004288,0.0,1,0.036352,0.037215,0.0367692,0.0367035,0.00027296714087962897,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004928,0.004928,0.004928,0.004928,0.0,1,0.05245000000000001,0.05245000000000001,0.05245000000000001,0.05245000000000001,0.0,1,0.00432,0.00432,0.00432,0.00432,0.0,1,0.021569,0.022944000000000003,0.022049650000000004,0.021984500000000004,0.00033463222722863984,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,2,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004832,0.004832,0.004832,0.004832,0.0,1,0.05251200000000001,0.05251200000000001,0.05251200000000001,0.05251200000000001,0.0,1,0.004288,0.004288,0.004288,0.004288,0.0,1,0.013889,0.014464000000000001,0.014163100000000001,0.014222500000000003,0.0001857489973055038,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,4,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004896,0.004896,0.004896,0.004896,0.0,1,0.052255,0.052255,0.052255,0.052255,0.0,1,0.004256,0.004256,0.004256,0.004256,0.0,1,0.013056000000000002,0.013632,0.013305599999999997,0.01328,0.00019932922515276025,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,8,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004864,0.004864,0.004864,0.004864,0.0,1,0.05222100000000001,0.05222100000000001,0.05222100000000001,0.05222100000000001,0.0,1,0.004288,0.004288,0.004288,0.004288,0.0,1,0.036480000000000005,0.037984,0.03710525,0.0370075,0.0003874805640287007,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,1,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004896,0.004896,0.004896,0.004896,0.0,1,0.052671000000000016,0.052671000000000016,0.052671000000000016,0.052671000000000016,0.0,1,0.004287,0.004287,0.004287,0.004287,0.0,1,0.021471,0.023486,0.0221308,0.021984000000000004,0.0004563254978630928,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,2,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004864,0.004864,0.004864,0.004864,0.0,1,0.051934999999999995,0.051934999999999995,0.051934999999999995,0.051934999999999995,0.0,1,0.004288,0.004288,0.004288,0.004288,0.0,1,0.013599,0.014238000000000002,0.01392465,0.013952,0.0002058225631460268,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,4,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.004895,0.004895,0.004895,0.004895,0.0,1,0.052095000000000016,0.052095000000000016,0.052095000000000016,0.052095000000000016,0.0,1,0.004288,0.004288,0.004288,0.004288,0.0,1,0.013248,0.013792000000000002,0.0135376,0.0135675,0.000207787246961887,20,1,16,16,1,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,standalone_legacy,none,8,2048,768,True,8,8,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.0000000003118217,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.005248,0.005248,0.005248,0.005248,0.0,1,0.05206299999999999,0.05206299999999999,0.05206299999999999,0.05206299999999999,0.0,1,0.008608000000000001,0.008608000000000001,0.008608000000000001,0.008608000000000001,0.0,1,0.014495999999999998,0.014848000000000002,0.0146767,0.014657,0.00010470964616500262,20,1,16,2,8,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,1,1,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.597749054401187e-11,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
0.005249,0.005249,0.005249,0.005249,0.0,1,0.052385,0.052385,0.052385,0.052385,0.0,1,0.008608000000000001,0.008608000000000001,0.008608000000000001,0.008608000000000001,0.0,1,0.013184999999999999,0.013952,0.013556749999999998,0.0135365,0.00024636657139311753,20,1,16,2,8,uniform_topk,round_robin_uniform,uniform_1_over_topk,False,prefill_hot,ffn_like_prefix_20x,8,2048,768,True,2,1,0.375,0.5,0.5,0.5,0.0,1.0,2.0,3.597749054401187e-11,0.5,uniform,0,vllm_fused,KERNEL_ONLY,BF16,generic,none,generic
