time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.emb.count,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.input_layernorm.count,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_pre_proj.count,time_stats.attn_inter_norm.min,time_stats.attn_inter_norm.max,time_stats.attn_inter_norm.mean,time_stats.attn_inter_norm.median,time_stats.attn_inter_norm.std,time_stats.attn_inter_norm.count,time_stats.attn_wq_proj.min,time_stats.attn_wq_proj.max,time_stats.attn_wq_proj.mean,time_stats.attn_wq_proj.median,time_stats.attn_wq_proj.std,time_stats.attn_wq_proj.count,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_rope.count,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.attn_post_proj.count,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.post_attention_layernorm.count,time_stats.share_expert_up_proj.min,time_stats.share_expert_up_proj.max,time_stats.share_expert_up_proj.mean,time_stats.share_expert_up_proj.median,time_stats.share_expert_up_proj.std,time_stats.share_expert_up_proj.count,time_stats.share_expert_act.min,time_stats.share_expert_act.max,time_stats.share_expert_act.mean,time_stats.share_expert_act.median,time_stats.share_expert_act.std,time_stats.share_expert_act.count,time_stats.share_expert_down_proj.min,time_stats.share_expert_down_proj.max,time_stats.share_expert_down_proj.mean,time_stats.share_expert_down_proj.median,time_stats.share_expert_down_proj.std,time_stats.share_expert_down_proj.count,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,use_qk_norm,attn_output_gate,num_tokens,num_tensor_parallel_workers,padded_n_embd,padded_n_expanded_embd,model_arch,is_step2_mini,share_expert_dim,share_q_dim,measurement_type,profiling_precision,quant_signature,model_architecture_profile
0.001792,0.003008,0.002691,0.002688,0.0002288193298528,21.0,0.002528,0.002816,0.0026366999999999,0.0026395,5.667195073402715e-05,20.0,0.005888,0.0061449999999999,0.0060128499999999,0.006016,6.865440626791561e-05,20,0.005503,0.006048,0.00579355,0.005792,0.0001238355663773,20,0.003904,0.004256,0.0040512,0.004064,0.0001043808411539,20,0.003168,0.003424,0.0032847999999999,0.003296,8.669636670587751e-05,20,0.006432,0.007168,0.0067073,0.006656,0.0002106950640143,20,0.00256,0.00272,0.00263675,0.002624,4.696368277722692e-05,20.0,0.009121,0.009823,0.00935195,0.00928,0.0001877813821974,20,0.0022719999999999,0.002528,0.0024080499999999,0.002432,5.8808566552841645e-05,20,0.006784,0.007392,0.0070497,0.007024,0.0001678252364812,20,16,1,2048,1024,128815,True,False,False,128,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.001761,0.0027519999999999,0.0024655238095238,0.002464,0.0001865602466325,21.0,0.002432,0.002816,0.0025568,0.00256,8.274998489425844e-05,20.0,0.005824,0.006048,0.00593285,0.0059205,5.923451274383876e-05,20,0.005344,0.005697,0.00549765,0.005488,0.0001083472542337,20,0.003872,0.004128,0.0039825,0.003968,6.519700913385533e-05,20,0.002944,0.003264,0.0030848499999999,0.003088,9.345655407728238e-05,20,0.006368,0.006816,0.0065903,0.006592,0.0001286126354601,20,0.002528,0.002592,0.0025488,0.002544,2.3174555011909192e-05,20.0,0.008704,0.009696,0.00893115,0.0088635,0.0002176601192226,20,0.002208,0.002496,0.0022624,0.00224,6.246150814701792e-05,20,0.006399,0.006912,0.0065903999999999,0.006592,0.0001472224167713,20,16,1,2048,1024,128815,True,False,False,64,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.001728,0.002592,0.0023741904761904,0.0024,0.0001624616054415,21.0,0.002399,0.0027519999999999,0.00255355,0.00256,9.205241713284888e-05,20.0,0.005728,0.00592,0.00581755,0.005824,4.122314277199167e-05,20,0.005121,0.005568,0.0052705,0.0052805,0.0001167135382035,20,0.0038079999999999,0.003936,0.0038734999999999,0.003872,3.56587997554602e-05,20,0.002912,0.003104,0.00300965,0.003008,5.496660349703264e-05,20,0.00624,0.006624,0.00642565,0.006432,0.0001025510970199,20,0.002496,0.002592,0.0025409,0.002528,2.561620580804277e-05,20.0,0.008704,0.009472,0.00898885,0.00896,0.0001994064379602,20,0.00224,0.0024,0.0022736,0.002256,4.578908166801327e-05,20,0.006208,0.006784,0.00639505,0.006368,0.0001474413357915,20,16,1,2048,1024,128815,True,False,False,32,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.008192,0.012128,0.0116678095238095,0.011872,0.0007906160719607,21.0,0.002496,0.0027519999999999,0.0026096,0.002624,5.76666281310083e-05,20.0,0.005632,0.005824,0.0057327499999999,0.005728,4.986368919364082e-05,20,0.00512,0.005344,0.00519045,0.005184,5.411143594472415e-05,20,0.003776,0.004288,0.0038544999999999,0.0038079999999999,0.0001277789106229,20,0.0028799999999999,0.003136,0.0029839,0.002976,7.56953763449262e-05,20,0.006176,0.006847,0.00631985,0.006288,0.0001520372569471,20,0.002496,0.002656,0.0025552,0.002544,4.442701880612756e-05,20.0,0.008512,0.0093119999999999,0.008749,0.008704,0.0001964016293211,20,0.002208,0.002273,0.00224325,0.00224,2.4643203931307152e-05,20,0.006144,0.006496,0.00631045,0.006288,0.0001134484354233,20,16,1,2048,1024,128815,True,False,False,16,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.005024,0.007103,0.0067824761904761,0.006848,0.000411022490295,21.0,0.0024,0.002848,0.0026352,0.0026245,0.0001304371879488,20.0,0.0056,0.006272,0.00573905,0.0057275,0.0001358927794255,20,0.004544,0.0055039999999999,0.00498555,0.004992,0.0002792734278444,20,0.003712,0.003872,0.00380165,0.0038079999999999,4.231108010911553e-05,20,0.00272,0.003104,0.0028817,0.002944,0.0001096198430942,20,0.006144,0.006432,0.0062495,0.00624,6.404646750602263e-05,20,0.002336,0.002656,0.0024479999999999,0.002464,9.30204278639913e-05,20.0,0.008256,0.008704,0.00836975,0.008336,0.0001120374379392,20,0.001919,0.002432,0.0021761,0.002256,0.0001750159706998,20,0.00608,0.006464,0.00622405,0.0062085,9.534069173233434e-05,20,16,1,2048,1024,128815,True,False,False,8,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.003584,0.004768,0.0045362857142857,0.0045439999999999,0.0002396219528175,21.0,0.002368,0.002912,0.00261755,0.002688,0.0001523681315104,20.0,0.005664,0.005824,0.0057488,0.0057599999999999,5.3750906969092296e-05,20,0.004576,0.0054719999999999,0.0049647499999999,0.0049595,0.0002712754826739,20,0.003712,0.004063,0.0038079,0.003792,6.842287629148596e-05,20,0.002688,0.003168,0.00287045,0.002864,0.0001291884185985,20,0.006144,0.006432,0.0062496,0.0062245,7.642538845174435e-05,20,0.002337,0.002656,0.00247685,0.002496,9.065830077825206e-05,20.0,0.008192,0.008544,0.008328,0.00832,8.02807573457054e-05,20,0.001888,0.002368,0.0021168,0.00216,0.0001610449005712,20,0.006112,0.00656,0.00628945,0.0062715,0.0001284482288706,20,16,1,2048,1024,128815,True,False,False,4,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.003008,0.003648,0.003392,0.003392,0.0001280602536754,21.0,0.002368,0.002976,0.0026704,0.002704,0.0001603918327097,20.0,0.005536,0.005824,0.0057135499999999,0.005728,6.596474437152015e-05,20,0.004576,0.0054719999999999,0.0049552,0.00496,0.0002640353385439,20,0.003679,0.00384,0.0037662999999999,0.003776,4.548966915685349e-05,20,0.00272,0.003168,0.0028944,0.002896,0.0001249537514442,20,0.00608,0.0064,0.0062383499999999,0.0062395,8.622196645866997e-05,20,0.002368,0.00272,0.0025104,0.002512,0.0001019364507916,20.0,0.00816,0.009184,0.00838395,0.008288,0.0002703659510737,20,0.001888,0.0024,0.0021311499999999,0.00216,0.0001773711574636,20,0.006112,0.006336,0.0062223,0.006224,6.956227425839395e-05,20,16,1,2048,1024,128815,True,False,False,2,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
0.002464,0.002912,0.0027764285714285,0.0027519999999999,8.826290351022007e-05,21.0,0.002464,0.002881,0.0026513,0.002624,8.789317379637618e-05,20.0,0.005567,0.005857,0.0057376499999999,0.0057599999999999,6.352186631389237e-05,20,0.00224,0.002368,0.0022847499999999,0.0022719999999999,3.5562445079043644e-05,20,0.003616,0.003841,0.00375515,0.0037595,5.289071279534793e-05,20,0.002624,0.002944,0.0027503499999999,0.0027835,9.243661341697884e-05,20,0.006111,0.006368,0.0062576,0.006256,6.455338875690425e-05,20,0.00256,0.00272,0.0026127999999999,0.002592,3.954946270178654e-05,20.0,0.008064,0.008928,0.00831045,0.0082565,0.0001866299748164,20,0.002016,0.002176,0.00205295,0.002048,3.676475894113828e-05,20,0.006144,0.006464,0.0062927999999999,0.006288,8.550707573060833e-05,20,16,1,2048,1024,128815,True,False,False,1,1,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
,,,,,,,,,,,,0.005664,0.005952,0.00582395,0.005824,8.101448944479012e-05,20,0.005439,0.005696,0.0055089,0.0054725,6.810719492094807e-05,20,0.003615,0.003744,0.0036943,0.003712,3.727344899522991e-05,20,0.002496,0.002657,0.00255195,0.0025595,4.2887614762306455e-05,20,0.004736,0.005248,0.0049216,0.004944,0.0001400708392207,20,,,,,,,0.006048,0.006432,0.0062384999999999,0.006224,0.0001013876225187,20,0.001824,0.00192,0.0018543,0.001856,2.3605296015936743e-05,20,0.004672,0.005119,0.00492475,0.004896,0.0001040580967536,20,16,1,2048,1024,128815,True,False,False,128,2,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
,,,,,,,,,,,,0.005472,0.0057599999999999,0.0055824,0.0055525,7.877588463482959e-05,20,0.005376,0.0054399999999999,0.0054031,0.005408,2.3222618284766733e-05,20,0.003392,0.003552,0.0034416,0.003424,4.349528710101821e-05,20,0.002432,0.002464,0.0024527,0.002464,1.5192432326655244e-05,20,0.004128,0.004448,0.00426555,0.004224,9.393640135751428e-05,20,,,,,,,0.005568,0.005984,0.0057025999999999,0.005696,0.0001039607618286,20,0.001855,0.00192,0.0018784,0.001888,2.285475880424023e-05,20,0.004256,0.0045759999999999,0.0044144,0.004416,8.258353346763487e-05,20,16,1,2048,1024,128815,True,False,False,64,2,2048,1024,step2_mini,True,2048,512,KERNEL_ONLY,BF16,none,step2_mini
