Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_first_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,request_waiting_time_total,request_waiting_time_prefill,request_waiting_time_decode,request_waiting_time_decode_attn,request_waiting_time_decode_ffn,request_hidden_waiting_time,request_final_waiting_time,request_hidden_service_time,request_final_service_time,final_round_prefill_wait_ms,final_round_decode_wait_ms,final_round_prefill_service_ms,late_hidden_prefill_wait_ms,request_thinking_time,request_tool_call_time,prefill_e2e_time,prefill_execution_plus_preemption,prefill_execution_plus_preemption_per_token,decode_e2e_time,decode_e2e_time_per_token,decode_first_token_latency,ttft,ttft_prefill_only,ttft_kv_transfer,ttft_decode_first_token,tpot,tpot_computation,tpot_transfer,transfer_kv_cache,transfer_m2n_total,transfer_m2n_attn_to_ffn,transfer_m2n_ffn_to_attn,cluster_prefill_computation,cluster_decode_attn_computation,cluster_decode_ffn_computation,cluster_decode_computation,cluster_decode_attn_e2e_time,cluster_decode_ffn_e2e_time,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_thinking_round_count,request_session_id,request_cohort,request_sj2q_pen_qshort_entries_total,request_sj2q_pen_qshort_long_history_entries_total,request_sj2q_pen_qlong_entries_total,request_sj2q_pen_long_history_to_qshort_reentry_count,request_sj2q_pen_first_long_history_round_number,request_total_preemption_count,request_prefill_preemption_count,request_decode_preemption_count,request_decode_attn_preemption_count,request_hidden_preemption_count,request_final_preemption_count,request_decode_tokens_at_preemption_all,request_decode_attn_tokens_at_preemption_all,request_decode_tokens_at_preemption_mean,request_decode_tokens_at_preemption_max,request_decode_tokens_at_preemption_min,request_spec_total_iterations,request_spec_accepted_drafts,request_spec_rejected_drafts,request_spec_committed_tokens,request_spec_acceptance_ratio,request_spec_committed_per_iteration
0,58481.21072444904,57.110557348094765,58481.21072444904,57.110557348094765,58058.562311169975,56.69781475700193,0.0,0.0,58481.21072444904,57.110557348094765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58481.21072444904,0.0,0.0,0.0,0.0,0.0,0.0,65.79007690374297,65.79007690374297,0.016062030494077874,58415.420647545296,57.04630922611845,51.99277054932217,65.79007690374297,65.79007690374297,0.0,0.0,57.10207296925249,57.10207296925249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
1,58510.74102530855,57.13939553252788,58474.16617967772,57.10367790984152,58051.494735293,56.69091282743457,0.0,36.57484563083194,58474.16617967772,57.10367790984152,36.57484563083194,0.0,0.0,0.0,0.0,0.0,36.57484563083194,0.0,58474.16617967772,0.0,0.0,0.0,0.0,0.0,0.0,103.76702094893803,67.1921753181061,0.016404339677271996,58406.97400435961,57.03806055113243,54.943888698620654,103.76702094893803,67.1921753181061,0.0,36.57484563083194,57.093816231045565,57.093816231045565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812080018222332,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
2,58523.111535184726,57.151476108578834,58469.66567874151,57.09928288939601,58053.47606446913,56.69284771920813,0.0,0.0,58469.66567874151,57.09928288939601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58523.111535184726,0.0,0.0,0.0,0.0,0.0,0.0,119.31370302938821,119.31370302938821,0.02912932202865923,58403.79783215533,57.03495882046419,67.21784916088592,119.31370302938821,119.31370302938821,0.0,0.0,57.09071146838254,57.09071146838254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1602089419029653,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
3,58500.02919547988,57.12893476121082,58461.319956731844,57.09113277024594,58045.03999590759,56.6846093710035,0.0,38.70923874803783,58461.319956731844,57.09113277024594,38.70923874803783,0.0,0.0,0.0,0.0,0.0,38.70923874803783,0.0,58461.319956731844,0.0,0.0,0.0,0.0,0.0,0.0,105.92708790892374,67.21784916088592,0.016410607705294414,58394.10210757096,57.02549033942476,56.30245481674567,105.92708790892374,67.21784916088592,0.0,38.70923874803783,57.08123373174092,57.08123373174092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08060446428135037,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
4,58495.21978112226,57.124238067502205,58460.53860733891,57.0903697337294,58056.33725934812,56.69564185483215,0.0,34.68117378334546,58460.53860733891,57.0903697337294,34.68117378334546,0.0,0.0,0.0,0.0,0.0,34.68117378334546,0.0,58460.538607338916,0.0,0.0,0.0,0.0,0.0,0.0,101.8960060710934,67.21483228774794,0.01640987116400096,58393.32377505116,57.0247302490734,56.29583297730356,101.8960060710934,67.21483228774794,0.0,34.68117378334546,57.08047289838824,57.08047289838824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46536309784278274,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
5,58487.98652182323,57.117174337718,58455.05592595678,57.08501555269217,58049.170042264646,56.68864261939907,0.0,32.93059586644609,58455.05592595678,57.08501555269217,32.93059586644609,0.0,0.0,0.0,0.0,0.0,32.93059586644609,0.0,58455.05592595678,0.0,0.0,0.0,0.0,0.0,0.0,121.74926069051727,88.81866482407119,0.021684244341814256,58366.237261132716,56.99827857532492,55.137062811109416,121.74926069051727,88.81866482407119,0.0,32.93059586644609,57.053995367676166,57.053995367676166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23785290913656354,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
6,58487.785649979385,57.11697817380799,58455.05592595678,57.08501555269217,58050.34204537771,56.68978715368917,0.0,32.72972402260144,58455.05592595678,57.08501555269217,32.72972402260144,0.0,0.0,0.0,0.0,0.0,32.72972402260144,0.0,58455.05592595678,0.0,0.0,0.0,0.0,0.0,0.0,121.54838884667262,88.81866482407119,0.021684244341814256,58366.237261132716,56.99827857532492,55.137062811109416,121.54838884667262,88.81866482407119,0.0,32.72972402260144,57.053995367676166,57.053995367676166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020087184384465218,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
7,58453.70899486555,57.08370019029839,58433.38616089564,57.06385367274965,58027.68724440116,56.66766332461051,0.0,20.322833969910192,58433.38616089564,57.06385367274965,20.322833969910192,0.0,0.0,0.0,0.0,0.0,20.322833969910192,0.0,58433.386160895636,0.0,0.0,0.0,0.0,0.0,0.0,87.54345534405772,67.22062137414753,0.016411284515172736,58366.1655395215,56.99820853468896,55.120726091047345,87.54345534405772,67.22062137414753,0.0,20.322833969910192,57.05392525857429,57.05392525857429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217738061212001,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
8,58530.58090202761,57.158770412136334,58502.07186861619,57.1309295591955,58107.05907103444,56.74517487405707,0.0,28.509033411419082,58502.07186861619,57.1309295591955,28.509033411419082,0.0,0.0,0.0,0.0,0.0,28.509033411419082,0.0,58502.071868616185,0.0,0.0,0.0,0.0,0.0,0.0,95.79584867548796,67.28681526406888,0.016427445132829316,58434.78505335212,57.06521977866418,55.18560572988207,95.79584867548796,67.28681526406888,0.0,28.509033411419082,57.121002007186824,57.121002007186824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8780183829367163,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
9,58615.02084302639,57.24123129201796,58579.61761128816,57.20665782352359,58185.50320527234,56.82178047389877,0.0,35.4032317382309,58579.61761128816,57.20665782352359,35.4032317382309,0.0,0.0,0.0,0.0,0.0,35.4032317382309,0.0,58579.61761128816,0.0,0.0,0.0,0.0,0.0,0.0,102.74125118913169,67.33801945090079,0.016439946155005075,58512.27959183726,57.14089803890357,55.18613104268866,102.74125118913169,67.33801945090079,0.0,35.4032317382309,57.19675424422019,57.19675424422019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1022600289434195,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
