client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:0,cmpl-pf4096_dc1024:0-0,121.48427963256836,125.737763,1788844392.3692117,3455714.707905073,0,0.0
pf4096_dc1024:1,cmpl-pf4096_dc1024:1-0,86.77387237548828,89.454887,1788844392.48785,3455714.789113075,1,0.0812080018222332
pf4096_dc1024:2,cmpl-pf4096_dc1024:2-0,138.14115524291992,140.474447,1788844392.5933468,3455714.949322017,2,0.2414169437251985
pf4096_dc1024:3,cmpl-pf4096_dc1024:3-0,153.69129180908203,156.835474,1788844392.6619294,3455715.029926481,3,0.3220214080065489
pf4096_dc1024:4,cmpl-pf4096_dc1024:4-0,127.7761459350586,130.169313,1788844393.1521325,3455715.495289579,4,0.7873845058493316
pf4096_dc1024:6,cmpl-pf4096_dc1024:6-0,147.9017734527588,151.083563,1788844393.3744297,3455715.733142488,5,1.0252374149858952
pf4096_dc1024:5,cmpl-pf4096_dc1024:5-0,150.42614936828613,156.305829,1788844393.3718233,3455715.73334336,6,1.0254382868297398
pf4096_dc1024:7,cmpl-pf4096_dc1024:7-0,135.93816757202148,138.402573,1788844393.70552,3455716.055117166,7,1.3472120929509401
pf4096_dc1024:8,cmpl-pf4096_dc1024:8-0,131.34312629699707,134.375357,1788844395.5891507,3455717.933135549,8,3.225230475887656
pf4096_dc1024:9,cmpl-pf4096_dc1024:9-0,158.47229957580566,161.514385,1788844397.6629765,3455720.035395578,9,5.327490504831076
pf4096_dc1024:10,cmpl-pf4096_dc1024:10-0,133.0869197845459,135.934243,1788844397.928848,3455720.275489792,10,5.567584719043225
pf4096_dc1024:11,cmpl-pf4096_dc1024:11-0,131.77990913391113,134.733706,1788844398.9427266,3455721.288541221,11,6.580636147875339
pf4096_dc1024:12,cmpl-pf4096_dc1024:12-0,94.79832649230957,97.699019,1788844399.996503,3455722.305574914,12,7.597669840790331
pf4096_dc1024:13,cmpl-pf4096_dc1024:13-0,133.75115394592285,136.463294,1788844400.1222203,3455722.468529042,13,7.760623968672007
