Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.6,77716009,4,19429002.3,19117572.0,17951609,21529256,1529490.8,cudaStreamSynchronize
28.3,76964691,19244,3999.4,3627.0,2686,27731,1272.5,cudaLaunchKernel
20.5,55644591,3,18548197.0,18476268.0,14387578,22780745,4197045.8,cudaProfilerStop
8.5,22992852,4236,5428.0,5113.0,3344,161485,3613.2,cuLaunchKernelEx
5.3,14532926,1597,9100.1,8612.0,2802,26856,2424.3,cudaMemcpyAsync
2.5,6755365,6157,1097.2,845.0,473,18578,928.6,cudaEventRecord
1.9,5133969,4620,1111.2,961.5,485,11327,638.3,cudaStreamWaitEvent
1.0,2848699,2266,1257.1,799.5,333,12365,986.9,cudaEventQuery
0.7,2030631,1539,1319.4,1126.0,682,19321,984.7,cudaEventRecordWithFlags_v11010
0.5,1469715,3465,424.2,365.0,253,1903,173.3,cudaStreamIsCapturing_v10000
0.5,1423928,1537,926.4,715.0,407,10017,499.0,cudaEventCreateWithFlags
0.5,1235618,2310,534.9,415.5,199,2557,269.9,cudaStreamGetCaptureInfo_v2_v11030
0.3,840043,1537,546.5,413.0,283,10448,366.2,cudaEventDestroy
0.2,578796,12,48233.0,45472.0,7481,101299,34107.0,cuLaunchKernel
0.2,569145,2334,243.8,213.0,194,3630,133.5,cudaThreadExchangeStreamCaptureMode_v10010
0.2,547775,2310,237.1,170.0,94,8985,221.2,cudaGetFuncBySymbol_v11000
0.1,382040,2308,165.5,116.0,54,2769,169.9,cuKernelGetAttribute
0.1,168677,192,878.5,856.0,726,2312,134.1,cudaGetDriverEntryPoint_v11030
0.1,152712,192,795.4,783.0,666,1939,109.7,cuTensorMapEncodeTiled
0.0,23874,4,5968.5,6102.0,3942,7728,1825.7,cuProfilerStart
0.0,10654,1,10654.0,10654.0,10654,10654,0.0,cudaMemsetAsync
