request_id,arrived_at,num_prefill_tokens,num_decode_tokens
warmup:pf4096_dc1024:r0:0,0.0,4096,1024
warmup:pf4096_dc1024:r0:1,0.1394695984353605,4096,1024
warmup:pf4096_dc1024:r0:2,0.24519164866650506,4096,1024
warmup:pf4096_dc1024:r0:3,0.31248321598759043,4096,1024
warmup:pf4096_dc1024:r0:4,0.8038411056189159,4096,1024
warmup:pf4096_dc1024:r0:5,1.0199291991842783,4096,1024
warmup:pf4096_dc1024:r0:6,1.025896073192656,4096,1024
warmup:pf4096_dc1024:r0:7,1.356952136864616,4096,1024
warmup:pf4096_dc1024:r0:8,3.24038704705775,4096,1024
warmup:pf4096_dc1024:r0:9,5.3142484733350654,4096,1024
warmup:pf4096_dc1024:r0:10,5.579498001056458,4096,1024
warmup:pf4096_dc1024:r0:11,6.5930851363594645,4096,1024
warmup:pf4096_dc1024:r0:12,7.647941403311525,4096,1024
warmup:pf4096_dc1024:r0:13,7.77405519982716,4096,1024
warmup:pf4096_dc1024:r0:14,8.476999899982102,4096,1024
warmup:pf4096_dc1024:r0:15,9.089052386519116,4096,1024
warmup:pf4096_dc1024:r0:16,9.244738402920921,4096,1024
warmup:pf4096_dc1024:r0:17,9.287440685638783,4096,1024
warmup:pf4096_dc1024:r0:18,9.94316304734161,4096,1024
warmup:pf4096_dc1024:r0:19,11.1078063221435,4096,1024
warmup:pf4096_dc1024:r0:20,11.146954163745653,4096,1024
warmup:pf4096_dc1024:r0:21,11.308077211373663,4096,1024
warmup:pf4096_dc1024:r0:22,11.40353528481197,4096,1024
warmup:pf4096_dc1024:r0:23,12.293560236217036,4096,1024
warmup:pf4096_dc1024:r0:24,12.447377356138947,4096,1024
warmup:pf4096_dc1024:r0:25,14.209492697170441,4096,1024
warmup:pf4096_dc1024:r0:26,14.27248025992363,4096,1024
warmup:pf4096_dc1024:r0:27,15.242668624385429,4096,1024
warmup:pf4096_dc1024:r0:28,16.15921977167755,4096,1024
warmup:pf4096_dc1024:r0:29,16.326672146577753,4096,1024
warmup:pf4096_dc1024:r0:30,17.045295640177876,4096,1024
warmup:pf4096_dc1024:r0:31,17.18231614404406,4096,1024
warmup:pf4096_dc1024:r0:32,19.004298099655983,4096,1024
warmup:pf4096_dc1024:r0:33,19.698666458661304,4096,1024
warmup:pf4096_dc1024:r0:34,20.076595888133227,4096,1024
warmup:pf4096_dc1024:r0:35,20.28592656953938,4096,1024
warmup:pf4096_dc1024:r0:36,21.169882137799945,4096,1024
warmup:pf4096_dc1024:r0:37,21.3826360169934,4096,1024
warmup:pf4096_dc1024:r0:38,21.44258178261569,4096,1024
warmup:pf4096_dc1024:r0:39,21.530126437153886,4096,1024
warmup:pf4096_dc1024:r0:40,21.65844488405126,4096,1024
warmup:pf4096_dc1024:r0:41,21.835228025255738,4096,1024
warmup:pf4096_dc1024:r0:42,21.854399434671215,4096,1024
warmup:pf4096_dc1024:r0:43,22.045926868039263,4096,1024
warmup:pf4096_dc1024:r0:44,23.44722796246555,4096,1024
warmup:pf4096_dc1024:r0:45,23.62339439460993,4096,1024
warmup:pf4096_dc1024:r0:46,23.945014788628626,4096,1024
warmup:pf4096_dc1024:r0:47,24.550888896051227,4096,1024
warmup:pf4096_dc1024:r0:48,25.593726532799803,4096,1024
warmup:pf4096_dc1024:r0:49,26.018121823257204,4096,1024
warmup:pf4096_dc1024:r0:50,26.423189940241084,4096,1024
warmup:pf4096_dc1024:r0:51,26.78511742615385,4096,1024
warmup:pf4096_dc1024:r0:52,27.22727234322496,4096,1024
warmup:pf4096_dc1024:r0:53,27.336933920933888,4096,1024
warmup:pf4096_dc1024:r0:54,27.533653646419765,4096,1024
warmup:pf4096_dc1024:r0:55,27.814412843951732,4096,1024
warmup:pf4096_dc1024:r0:56,27.91616982643818,4096,1024
warmup:pf4096_dc1024:r0:57,28.75755685667493,4096,1024
warmup:pf4096_dc1024:r0:58,28.87319117878392,4096,1024
warmup:pf4096_dc1024:r0:59,29.381941311837863,4096,1024
warmup:pf4096_dc1024:r0:60,29.855405949005963,4096,1024
warmup:pf4096_dc1024:r0:61,30.13526456088238,4096,1024
warmup:pf4096_dc1024:r0:62,30.28071301534327,4096,1024
warmup:pf4096_dc1024:r0:63,30.34514629850438,4096,1024
warmup:pf4096_dc1024:r0:64,30.898838948725235,4096,1024
warmup:pf4096_dc1024:r0:65,31.31648037211652,4096,1024
warmup:pf4096_dc1024:r0:66,31.919253151669515,4096,1024
warmup:pf4096_dc1024:r0:67,31.986574956760712,4096,1024
warmup:pf4096_dc1024:r0:68,32.87850276652575,4096,1024
warmup:pf4096_dc1024:r0:69,34.27793135643245,4096,1024
warmup:pf4096_dc1024:r0:70,34.57040647217522,4096,1024
warmup:pf4096_dc1024:r0:71,34.641625111420616,4096,1024
warmup:pf4096_dc1024:r0:72,34.66097975128705,4096,1024
warmup:pf4096_dc1024:r0:73,34.67268929900176,4096,1024
warmup:pf4096_dc1024:r0:74,34.952493466706784,4096,1024
warmup:pf4096_dc1024:r0:75,35.33201428532532,4096,1024
warmup:pf4096_dc1024:r0:76,35.38403230265417,4096,1024
warmup:pf4096_dc1024:r0:77,37.73808266585447,4096,1024
warmup:pf4096_dc1024:r0:78,38.43474855532294,4096,1024
warmup:pf4096_dc1024:r0:79,38.876523395090615,4096,1024
warmup:pf4096_dc1024:r0:80,39.90206451285434,4096,1024
warmup:pf4096_dc1024:r0:81,40.6689554689745,4096,1024
warmup:pf4096_dc1024:r0:82,40.78641334709632,4096,1024
warmup:pf4096_dc1024:r0:83,40.84318312170809,4096,1024
warmup:pf4096_dc1024:r0:84,40.8438393330155,4096,1024
warmup:pf4096_dc1024:r0:85,40.87361274205425,4096,1024
warmup:pf4096_dc1024:r0:86,41.167889287863275,4096,1024
warmup:pf4096_dc1024:r0:87,41.40188539176718,4096,1024
warmup:pf4096_dc1024:r0:88,41.67434274303424,4096,1024
warmup:pf4096_dc1024:r0:89,41.96850899839434,4096,1024
warmup:pf4096_dc1024:r0:90,42.206217258010696,4096,1024
warmup:pf4096_dc1024:r0:91,42.30904053285519,4096,1024
warmup:pf4096_dc1024:r0:92,42.52656549058795,4096,1024
warmup:pf4096_dc1024:r0:93,42.550959480706176,4096,1024
warmup:pf4096_dc1024:r0:94,42.97123666903399,4096,1024
warmup:pf4096_dc1024:r0:95,43.183220839471204,4096,1024
warmup:pf4096_dc1024:r0:96,43.25638193933987,4096,1024
warmup:pf4096_dc1024:r0:97,44.7463752544508,4096,1024
warmup:pf4096_dc1024:r0:98,45.99945284664151,4096,1024
warmup:pf4096_dc1024:r0:99,47.14003370610788,4096,1024
warmup:pf4096_dc1024:r1:0,0.0,4096,1024
warmup:pf4096_dc1024:r1:1,0.1394695984353605,4096,1024
warmup:pf4096_dc1024:r1:2,0.24519164866650506,4096,1024
warmup:pf4096_dc1024:r1:3,0.31248321598759043,4096,1024
warmup:pf4096_dc1024:r1:4,0.8038411056189159,4096,1024
warmup:pf4096_dc1024:r1:5,1.0199291991842783,4096,1024
warmup:pf4096_dc1024:r1:6,1.025896073192656,4096,1024
warmup:pf4096_dc1024:r1:7,1.356952136864616,4096,1024
warmup:pf4096_dc1024:r1:8,3.24038704705775,4096,1024
warmup:pf4096_dc1024:r1:9,5.3142484733350654,4096,1024
warmup:pf4096_dc1024:r1:10,5.579498001056458,4096,1024
warmup:pf4096_dc1024:r1:11,6.5930851363594645,4096,1024
warmup:pf4096_dc1024:r1:12,7.647941403311525,4096,1024
warmup:pf4096_dc1024:r1:13,7.77405519982716,4096,1024
warmup:pf4096_dc1024:r1:14,8.476999899982102,4096,1024
warmup:pf4096_dc1024:r1:15,9.089052386519116,4096,1024
warmup:pf4096_dc1024:r1:16,9.244738402920921,4096,1024
warmup:pf4096_dc1024:r1:17,9.287440685638783,4096,1024
warmup:pf4096_dc1024:r1:18,9.94316304734161,4096,1024
warmup:pf4096_dc1024:r1:19,11.1078063221435,4096,1024
warmup:pf4096_dc1024:r1:20,11.146954163745653,4096,1024
warmup:pf4096_dc1024:r1:21,11.308077211373663,4096,1024
warmup:pf4096_dc1024:r1:22,11.40353528481197,4096,1024
warmup:pf4096_dc1024:r1:23,12.293560236217036,4096,1024
warmup:pf4096_dc1024:r1:24,12.447377356138947,4096,1024
warmup:pf4096_dc1024:r1:25,14.209492697170441,4096,1024
warmup:pf4096_dc1024:r1:26,14.27248025992363,4096,1024
warmup:pf4096_dc1024:r1:27,15.242668624385429,4096,1024
warmup:pf4096_dc1024:r1:28,16.15921977167755,4096,1024
warmup:pf4096_dc1024:r1:29,16.326672146577753,4096,1024
warmup:pf4096_dc1024:r1:30,17.045295640177876,4096,1024
warmup:pf4096_dc1024:r1:31,17.18231614404406,4096,1024
warmup:pf4096_dc1024:r1:32,19.004298099655983,4096,1024
warmup:pf4096_dc1024:r1:33,19.698666458661304,4096,1024
warmup:pf4096_dc1024:r1:34,20.076595888133227,4096,1024
warmup:pf4096_dc1024:r1:35,20.28592656953938,4096,1024
warmup:pf4096_dc1024:r1:36,21.169882137799945,4096,1024
warmup:pf4096_dc1024:r1:37,21.3826360169934,4096,1024
warmup:pf4096_dc1024:r1:38,21.44258178261569,4096,1024
warmup:pf4096_dc1024:r1:39,21.530126437153886,4096,1024
warmup:pf4096_dc1024:r1:40,21.65844488405126,4096,1024
warmup:pf4096_dc1024:r1:41,21.835228025255738,4096,1024
warmup:pf4096_dc1024:r1:42,21.854399434671215,4096,1024
warmup:pf4096_dc1024:r1:43,22.045926868039263,4096,1024
warmup:pf4096_dc1024:r1:44,23.44722796246555,4096,1024
warmup:pf4096_dc1024:r1:45,23.62339439460993,4096,1024
warmup:pf4096_dc1024:r1:46,23.945014788628626,4096,1024
warmup:pf4096_dc1024:r1:47,24.550888896051227,4096,1024
warmup:pf4096_dc1024:r1:48,25.593726532799803,4096,1024
warmup:pf4096_dc1024:r1:49,26.018121823257204,4096,1024
warmup:pf4096_dc1024:r1:50,26.423189940241084,4096,1024
warmup:pf4096_dc1024:r1:51,26.78511742615385,4096,1024
warmup:pf4096_dc1024:r1:52,27.22727234322496,4096,1024
