Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.6,119128366,3,39709455.3,38720162.0,37356767,43051437,2973439.5,cudaProfilerStop
29.3,110502444,4,27625611.0,31797221.5,13757201,33150800,9333188.9,cudaStreamSynchronize
23.1,87168837,18462,4721.5,3730.0,2790,523175,12132.4,cudaLaunchKernel
6.0,22736877,4067,5590.6,5205.0,3572,183150,3893.6,cuLaunchKernelEx
3.8,14410496,1513,9524.5,9047.0,3114,25360,2494.2,cudaMemcpyAsync
1.7,6498044,5924,1096.9,830.0,463,18501,1000.5,cudaEventRecord
1.3,4950706,4453,1111.8,957.0,424,11401,626.0,cudaStreamWaitEvent
0.7,2674029,2276,1174.9,687.0,333,8667,931.2,cudaEventQuery
0.5,2035214,1471,1383.6,1186.0,701,19473,1138.4,cudaEventRecordWithFlags_v11010
0.4,1396341,3295,423.8,368.0,261,1472,164.9,cudaStreamIsCapturing_v10000
0.4,1352506,1471,919.4,725.0,388,4216,444.2,cudaEventCreateWithFlags
0.3,1241008,2226,557.5,439.0,212,2972,279.3,cudaStreamGetCaptureInfo_v2_v11030
0.2,801019,1471,544.5,424.0,283,9321,333.7,cudaEventDestroy
0.2,629166,2592,242.7,218.0,202,22036,443.2,cudaThreadExchangeStreamCaptureMode_v10010
0.1,520577,2226,233.9,162.0,97,1281,125.0,cudaGetFuncBySymbol_v11000
0.1,474345,10,47434.5,46065.0,8674,92954,31539.8,cuLaunchKernel
0.1,399061,2202,181.2,126.0,54,2634,170.7,cuKernelGetAttribute
0.0,172358,192,897.7,866.0,757,2601,179.7,cudaGetDriverEntryPoint_v11030
0.0,155369,192,809.2,807.0,618,1603,97.1,cuTensorMapEncodeTiled
0.0,19773,128,154.5,140.0,127,451,42.3,cudaGetDevice
0.0,18077,4,4519.3,3627.0,2701,8122,2441.2,cuProfilerStart
0.0,11776,14,841.1,202.5,190,8784,2286.5,cudaSetDevice
0.0,3574,39,91.6,75.0,59,527,74.5,cuDevicePrimaryCtxGetState
0.0,825,11,75.0,58.0,50,159,34.4,cudaGetLastError
