Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
100157909,8122,cuProfilerStart,0,51267152,1156,1156,20,VLLM::Worker_DP
100234908,3608,cuProfilerStart,0,51267152,1160,1160,20,VLLM::Worker_DP
101426535,69650,cuLaunchKernel,0,51267167,1156,1156,20,VLLM::Worker_DP
101428808,80835,cuLaunchKernel,0,51296177,1154,1154,20,VLLM::Worker_DP
101434207,52050,cuLaunchKernel,0,51267167,1160,1160,20,VLLM::Worker_DP
101534652,9229,cuLaunchKernel,0,51296185,1154,1154,20,VLLM::Worker_DP
101603666,12351,cudaLaunchKernel,0,51267186,1160,1160,20,VLLM::Worker_DP
101610069,18236,cudaLaunchKernel,0,51267186,1156,1156,20,VLLM::Worker_DP
101614304,17416,cudaLaunchKernel,0,51296202,1154,1154,20,VLLM::Worker_DP
101641863,12690,cudaLaunchKernel,0,51267194,1160,1160,20,VLLM::Worker_DP
101652581,16260,cudaLaunchKernel,0,51267194,1156,1156,20,VLLM::Worker_DP
101662329,13999,cudaLaunchKernel,0,51296208,1154,1154,20,VLLM::Worker_DP
101778016,21146,cudaMemcpyAsync,0,51296221,1154,1154,20,VLLM::Worker_DP
101800395,1404,cudaStreamIsCapturing_v10000,0,51296222,1154,1154,20,VLLM::Worker_DP
101805755,8892,cudaLaunchKernel,0,51296223,1154,1154,20,VLLM::Worker_DP
101806572,2972,cudaStreamGetCaptureInfo_v2_v11030,0,51267205,1160,1160,20,VLLM::Worker_DP
101837027,2971,cudaStreamGetCaptureInfo_v2_v11030,0,51267205,1156,1156,20,VLLM::Worker_DP
101860833,9177,cudaEventRecord,0,51267210,1160,1160,20,VLLM::Worker_DP
101870263,4177,cudaStreamWaitEvent,0,51267211,1160,1160,20,VLLM::Worker_DP
101876763,971,cudaGetFuncBySymbol_v11000,0,51267213,1160,1160,20,VLLM::Worker_DP
101879138,11063,cuLaunchKernelEx,0,51267214,1160,1160,20,VLLM::Worker_DP
101885647,13598,cudaLaunchKernel,0,51296235,1154,1154,20,VLLM::Worker_DP
101891479,1582,cudaEventRecord,0,51267216,1160,1160,20,VLLM::Worker_DP
101893410,1660,cudaStreamWaitEvent,0,51267217,1160,1160,20,VLLM::Worker_DP
101902032,10070,cudaEventRecord,0,51267210,1156,1156,20,VLLM::Worker_DP
101912337,4562,cudaStreamWaitEvent,0,51267211,1156,1156,20,VLLM::Worker_DP
101919784,1117,cudaGetFuncBySymbol_v11000,0,51267213,1156,1156,20,VLLM::Worker_DP
101922109,18822,cuLaunchKernelEx,0,51267214,1156,1156,20,VLLM::Worker_DP
101942412,1511,cudaEventRecord,0,51267216,1156,1156,20,VLLM::Worker_DP
101944384,1653,cudaStreamWaitEvent,0,51267217,1156,1156,20,VLLM::Worker_DP
101980045,10633,cudaLaunchKernel,0,51267228,1160,1160,20,VLLM::Worker_DP
102031769,14522,cudaLaunchKernel,0,51267228,1156,1156,20,VLLM::Worker_DP
102038676,504,cuKernelGetAttribute,0,51296248,1154,1154,20,VLLM::Worker_DP
102039363,103,cuKernelGetAttribute,0,51296249,1154,1154,20,VLLM::Worker_DP
