client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:0,cmpl-pf4096_dc1024:0-0,102.46133804321289,107.000287,1788802417.0255857,3550736.361678817,0,0.0
pf4096_dc1024:1,cmpl-pf4096_dc1024:1-0,127.1970272064209,129.834991,1788802417.1448212,3550736.502172457,1,0.1404936402104795
pf4096_dc1024:2,cmpl-pf4096_dc1024:2-0,94.87152099609375,97.501993,1788802417.2486198,3550736.578633261,2,0.21695444406941533
pf4096_dc1024:3,cmpl-pf4096_dc1024:3-0,101.94087028503418,105.413663,1788802417.317683,3550736.650279779,3,0.28860096214339137
pf4096_dc1024:4,cmpl-pf4096_dc1024:4-0,99.95722770690918,102.50034,1788802417.8077128,3550737.140707344,4,0.7790285269729793
pf4096_dc1024:5,cmpl-pf4096_dc1024:5-0,102.2188663482666,107.900561,1788802418.0263438,3550737.350577443,5,0.988898626063019
pf4096_dc1024:6,cmpl-pf4096_dc1024:6-0,98.5558032989502,102.056992,1788802418.0300949,3550737.35078631,6,0.9891074933111668
pf4096_dc1024:7,cmpl-pf4096_dc1024:7-0,114.67337608337402,117.330268,1788802418.3605042,3550737.707801445,7,1.3461226280778646
pf4096_dc1024:8,cmpl-pf4096_dc1024:8-0,99.32231903076172,102.458569,1788802420.2448146,3550739.573412747,8,3.2117339302785695
pf4096_dc1024:9,cmpl-pf4096_dc1024:9-0,96.01926803588867,99.298998,1788802422.3190944,3550741.647424043,9,5.285745226312429
pf4096_dc1024:10,cmpl-pf4096_dc1024:10-0,110.20660400390625,113.146964,1788802422.583914,3550741.924769934,10,5.5630911169573665
pf4096_dc1024:11,cmpl-pf4096_dc1024:11-0,124.20439720153809,127.53405,1788802423.5985618,3550742.955847081,11,6.594168263953179
pf4096_dc1024:12,cmpl-pf4096_dc1024:12-0,109.48991775512695,112.748232,1788802424.6522946,3550743.992600471,12,7.630921653937548
pf4096_dc1024:13,cmpl-pf4096_dc1024:13-0,125.6859302520752,128.471553,1788802424.7789018,3550744.136154414,13,7.774475597310811
pf4096_dc1024:14,cmpl-pf4096_dc1024:14-0,119.80581283569336,123.186334,1788802425.4813902,3550744.829929484,14,8.468250667210668
pf4096_dc1024:15,cmpl-pf4096_dc1024:15-0,135.2822780609131,138.550494,1788802426.0937693,3550745.460241472,15,9.098562655039132
pf4096_dc1024:16,cmpl-pf4096_dc1024:16-0,151.7806053161621,155.4836,1788802426.2494118,3550745.605446052,16,9.243767234962434
pf4096_dc1024:17,cmpl-pf4096_dc1024:17-0,109.4505786895752,112.493479,1788802426.2917418,3550745.605454827,17,9.243776010349393
pf4096_dc1024:18,cmpl-pf4096_dc1024:18-0,81.42900466918945,87.665604,1788802426.9507504,3550746.26352617,18,9.901847353205085
pf4096_dc1024:19,cmpl-pf4096_dc1024:19-0,88.8214111328125,91.990734,1788802428.1125073,3550747.433343448,19,11.07166463136673
pf4096_dc1024:20,cmpl-pf4096_dc1024:20-0,127.3500919342041,130.17567,1788802428.1509926,3550747.508165687,20,11.146486870013177
pf4096_dc1024:21,cmpl-pf4096_dc1024:21-0,110.49985885620117,113.453887,1788802428.3125029,3550747.652659625,21,11.29098080797121
pf4096_dc1024:22,cmpl-pf4096_dc1024:22-0,89.24746513366699,92.436095,1788802428.4071665,3550747.728848014,22,11.367169197183102
pf4096_dc1024:23,cmpl-pf4096_dc1024:23-0,98.56128692626953,102.078085,1788802429.2980268,3550748.628532357,23,12.266853540204465
pf4096_dc1024:24,cmpl-pf4096_dc1024:24-0,89.77818489074707,92.807818,1788802429.4529943,3550748.772455425,24,12.410776608157903
pf4096_dc1024:25,cmpl-pf4096_dc1024:25-0,115.07177352905273,119.653832,1788802431.213935,3550750.562012384,25,14.200333567336202
pf4096_dc1024:26,cmpl-pf4096_dc1024:26-0,130.50580024719238,134.298385,1788802431.276351,3550750.635604869,26,14.27392605226487
pf4096_dc1024:27,cmpl-pf4096_dc1024:27-0,142.73715019226074,147.690077,1788802432.249006,3550751.622753125,27,15.261074308305979
pf4096_dc1024:28,cmpl-pf4096_dc1024:28-0,136.13176345825195,139.831226,1788802433.1635766,3550752.529571498,28,16.16789268096909
pf4096_dc1024:29,cmpl-pf4096_dc1024:29-0,113.4181022644043,117.677402,1788802433.3313026,3550752.676101856,29,16.31442303908989
pf4096_dc1024:30,cmpl-pf4096_dc1024:30-0,85.93010902404785,89.4145,1788802434.0492396,3550753.364939799,30,17.003260982222855
