Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
70.1,1259354948,230412,5465.7,3316.0,2587,110117251,319715.7,cudaLaunchKernel
8.0,143396922,18385,7799.7,4953.0,3674,248583,15215.8,cudaLaunchCooperativeKernel
7.5,135645395,21897,6194.7,5549.0,3110,47314,2037.5,cudaMemcpyAsync
6.3,112881237,3,37627079.0,39743029.0,28295059,44843149,8474535.6,cudaProfilerStop
4.4,78486681,4,19621670.3,19622686.0,19618428,19622881,2163.7,cudaStreamSynchronize
3.4,60767891,13607,4465.9,4352.0,2920,41589,1416.7,cuLaunchKernelEx
0.2,3955658,6323,625.6,610.0,439,8815,173.0,cudaStreamIsCapturing_v10000
0.1,933730,392,2382.0,2856.5,1014,12722,1644.1,cudaEventRecord
0.0,684119,392,1745.2,1699.0,838,13378,1081.5,cudaStreamWaitEvent
0.0,420885,2298,183.2,120.0,53,2817,173.4,cuKernelGetAttribute
0.0,355983,10,35598.3,43396.5,7537,56153,20136.6,cuLaunchKernel
0.0,235680,196,1202.4,1159.0,980,3333,226.5,cudaStreamGetCaptureInfo_v2_v11030
0.0,175725,192,915.2,898.0,761,2343,161.5,cudaGetDriverEntryPoint_v11030
0.0,150100,192,781.8,770.5,664,1678,94.7,cuTensorMapEncodeTiled
0.0,95702,196,488.3,458.5,366,2708,198.9,cudaGetFuncBySymbol_v11000
0.0,18386,100,183.9,147.5,130,1451,143.1,cudaGetDevice
0.0,15975,4,3993.8,3709.0,3102,5455,1106.6,cuProfilerStart
0.0,4507,53,85.0,73.0,57,266,40.1,cuDevicePrimaryCtxGetState
0.0,2647,8,330.9,256.0,170,561,160.6,cuPointerGetAttribute
0.0,761,5,152.2,124.0,79,318,95.0,cuCtxGetCurrent
0.0,256,2,128.0,128.0,127,129,1.4,cudaGetLastError
