Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.7,1918893567,6128,313135.4,318609.0,7360,1205223,188304.8,"void <unnamed>::dispatchKernel<(unsigned int)16, (bool)0, (bool)1>(int *, unsigned long, std::byte *, unsigned long, unsigned long, float *, unsigned long, unsigned long, unsigned long, const std::byte *, unsigned long, const float *, unsigned long, unsigned long, const unsigned int *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned int *, unsigned int, std::byte **, std::byte **, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int &)"
25.5,1262890640,12258,103025.8,100864.0,60769,154336,40357.9,batched_triton_kernel
18.4,909533335,6129,148398.3,160672.0,33152,299649,44578.3,"void <unnamed>::combineKernel<__nv_bfloat16, __nv_bfloat16, (unsigned long)32, (bool)1, (bool)1>(T2 *, unsigned long, unsigned int *, unsigned long, unsigned long, float *, unsigned long, unsigned long, T1 *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned int, unsigned int, unsigned int, unsigned long, unsigned int *, unsigned int, std::byte **, std::byte **, const unsigned int *, const unsigned int *, const unsigned int *, const unsigned int *, unsigned int *, unsigned int **, unsigned int &)"
4.2,207557722,6129,33864.9,32609.0,30144,37664,2892.3,"void vllm::act_and_mul_kernel<c10::BFloat16, &vllm::silu_kernel<c10::BFloat16>, (bool)1>(T1 *, const T1 *, int)"
3.6,180648927,196,921678.2,326529.0,96064,127001504,9052513.2,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.7,82831511,49024,1689.6,1664.0,1376,2656,170.3,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, at::native::remainder_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long, long) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.4,67868999,6128,11075.2,12560.0,6528,15936,3091.5,"void <unnamed>::dispatchKernel<(unsigned int)16, (bool)1, (bool)0>(int *, unsigned long, std::byte *, unsigned long, unsigned long, float *, unsigned long, unsigned long, unsigned long, const std::byte *, unsigned long, const float *, unsigned long, unsigned long, const unsigned int *, unsigned long, unsigned long, unsigned long, unsigned long, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned int *, unsigned int, std::byte **, std::byte **, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int &)"
1.3,64068060,49024,1306.9,1280.0,1056,2208,126.5,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.3,62745970,49024,1279.9,1248.0,1024,2112,140.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.0,49553087,24576,2016.3,2112.0,1728,3008,214.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 15)]::operator ()() const::[lambda(unsigned int) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.7,33269599,6512,5109.0,5248.0,896,6112,746.6,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.6,30029489,24448,1228.3,1248.0,1024,1824,119.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 15)]::operator ()() const::[lambda(unsigned int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.4,19334435,192,100700.2,100528.0,98912,103264,962.0,"void flashinfer::PrefillWithKVCacheKernel<flashinfer::SparseCollectiveMainloop<PagedParams::AdditionalParams, flashinfer::AttentionKernelTraits<(bool)0, (int)128, (int)128, (int)128, (int)96, (int)2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>, (bool)1, (bool)0>, flashinfer::CollectiveEpilogue<flashinfer::AttentionKernelTraits<(bool)0, (int)128, (int)128, (int)128, (int)96, (int)2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>>, flashinfer::AttentionKernelTraits<(bool)0, (int)128, (int)128, (int)128, (int)96, (int)2, cutlass::bfloat16_t, cutlass::bfloat16_t, cutlass::bfloat16_t, int, flashinfer::StandardAttention>, (bool)0, (bool)1, flashinfer::BatchPrefillPersistentTileScheduler<int>, (bool)0>(T1::Params, T2::Params, T6::Params)"
