client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:0,cmpl-pf4096_dc1024:0-0,119.17376518249512,124.365392,1788828804.072617,13563916.622778747,0,0.0
pf4096_dc1024:1,cmpl-pf4096_dc1024:1-0,86.86637878417969,89.880793,1788828804.189752,13563916.703948172,1,0.08116942457854748
pf4096_dc1024:2,cmpl-pf4096_dc1024:2-0,138.8990879058838,141.736065,1788828804.2957246,13563916.866549583,2,0.24377083592116833
pf4096_dc1024:3,cmpl-pf4096_dc1024:3-0,152.85921096801758,157.086701,1788828804.3645635,13563916.946661627,3,0.3238828796893358
pf4096_dc1024:4,cmpl-pf4096_dc1024:4-0,134.79256629943848,137.952906,1788828804.8541,13563917.416337617,4,0.793558869510889
pf4096_dc1024:5,cmpl-pf4096_dc1024:5-0,158.27417373657227,165.223749,1788828805.0737371,13563917.65600356,5,1.0332248136401176
pf4096_dc1024:6,cmpl-pf4096_dc1024:6-0,155.3783416748047,159.297255,1788828805.0767627,13563917.656162724,6,1.0333839766681194
pf4096_dc1024:7,cmpl-pf4096_dc1024:7-0,138.14735412597656,141.204886,1788828805.4081318,13563917.975692084,7,1.352913336828351
pf4096_dc1024:8,cmpl-pf4096_dc1024:8-0,112.36453056335449,115.996988,1788828807.291023,13563919.83072308,8,3.207944333553314
pf4096_dc1024:9,cmpl-pf4096_dc1024:9-0,133.2848072052002,137.274753,1788828809.365063,13563921.92787297,9,5.305094223469496
pf4096_dc1024:10,cmpl-pf4096_dc1024:10-0,111.5720272064209,115.004429,1788828809.6296322,13563922.167219415,10,5.544440668076277
pf4096_dc1024:11,cmpl-pf4096_dc1024:11-0,106.97627067565918,111.129628,1788828810.6436162,13563923.181342931,11,6.558564184233546
pf4096_dc1024:12,cmpl-pf4096_dc1024:12-0,141.75677299499512,145.55621,1788828811.69822,13563924.266895575,12,7.6441168282181025
pf4096_dc1024:13,cmpl-pf4096_dc1024:13-0,96.97866439819336,100.427278,1788828811.825763,13563924.352099815,13,7.729321068152785
pf4096_dc1024:14,cmpl-pf4096_dc1024:14-0,97.19085693359375,100.991654,1788828812.5272093,13563925.051901972,14,8.429123224690557
pf4096_dc1024:15,cmpl-pf4096_dc1024:15-0,107.21278190612793,111.120239,1788828813.1396482,13563925.677379312,15,9.05460056476295
pf4096_dc1024:16,cmpl-pf4096_dc1024:16-0,160.10618209838867,163.653445,1788828813.2950988,13563925.836416688,16,9.213637940585613
pf4096_dc1024:17,cmpl-pf4096_dc1024:17-0,246.11330032348633,249.90679,1788828813.3374674,13563925.966898777,17,9.344120029360056
pf4096_dc1024:18,cmpl-pf4096_dc1024:18-0,153.13172340393066,161.276925,1788828813.9978645,13563926.581286319,18,9.95850757136941
pf4096_dc1024:19,cmpl-pf4096_dc1024:19-0,165.6515598297119,171.352335,1788828815.159185,13563927.746991847,19,11.124213099479675
pf4096_dc1024:20,cmpl-pf4096_dc1024:20-0,127.93850898742676,132.183646,1788828815.1971247,13563927.747438725,20,11.124659977853298
pf4096_dc1024:21,cmpl-pf4096_dc1024:21-0,126.52111053466797,130.432316,1788828815.3593442,13563927.914479988,21,11.291701240465045
pf4096_dc1024:22,cmpl-pf4096_dc1024:22-0,113.79122734069824,117.649419,1788828815.4536295,13563927.997299567,22,11.3745208196342
pf4096_dc1024:23,cmpl-pf4096_dc1024:23-0,160.39681434631348,165.524641,1788828816.3444777,13563928.93162434,23,12.308845592662692
pf4096_dc1024:24,cmpl-pf4096_dc1024:24-0,89.33568000793457,93.692884,1788828816.498138,13563929.016688384,24,12.393909636884928
pf4096_dc1024:25,cmpl-pf4096_dc1024:25-0,116.25409126281738,121.079656,1788828818.2601845,13563930.802702917,25,14.179924169555306
pf4096_dc1024:26,cmpl-pf4096_dc1024:26-0,136.29651069641113,140.840879,1788828818.3224149,13563930.888007438,26,14.265228690579534
pf4096_dc1024:27,cmpl-pf4096_dc1024:27-0,97.54085540771484,101.638786,1788828819.293072,13563931.817780923,27,15.195002175867558
pf4096_dc1024:28,cmpl-pf4096_dc1024:28-0,113.43574523925781,118.170875,1788828820.2097483,13563932.750000233,28,16.127221485599875
pf4096_dc1024:29,cmpl-pf4096_dc1024:29-0,104.69293594360352,109.472423,1788828820.3767889,13563932.911401358,29,16.288622610270977
pf4096_dc1024:30,cmpl-pf4096_dc1024:30-0,155.029296875,160.370806,1788828821.0965943,13563933.680174632,30,17.057395884767175
pf4096_dc1024:31,cmpl-pf4096_dc1024:31-0,100.77071189880371,105.653185,1788828821.2334027,13563933.763648933,31,17.14087018556893
pf4096_dc1024:32,cmpl-pf4096_dc1024:32-0,128.42130661010742,132.863683,1788828823.0549395,13563935.610467996,32,18.98768924921751
pf4096_dc1024:33,cmpl-pf4096_dc1024:33-0,134.77706909179688,140.105072,1788828823.749352,13563936.313470967,33,19.690692219883204
pf4096_dc1024:34,cmpl-pf4096_dc1024:34-0,150.09689331054688,155.057184,1788828824.126879,13563936.704765595,34,20.081986848264933
pf4096_dc1024:35,cmpl-pf4096_dc1024:35-0,99.77889060974121,104.818505,1788828824.3363063,13563936.865637,35,20.2428582534194
pf4096_dc1024:36,cmpl-pf4096_dc1024:36-0,145.29871940612793,149.915927,1788828825.2220209,13563937.795925248,36,21.17314650118351
pf4096_dc1024:37,cmpl-pf4096_dc1024:37-0,94.50864791870117,99.624599,1788828825.4326031,13563937.955692744,37,21.33291399665177
pf4096_dc1024:38,cmpl-pf4096_dc1024:38-0,118.0121898651123,121.971094,1788828825.4932504,13563938.039140854,38,21.41636210680008
pf4096_dc1024:39,cmpl-pf4096_dc1024:39-0,115.02456665039062,119.151529,1788828825.580363,13563938.122432562,39,21.4996538143605
pf4096_dc1024:40,cmpl-pf4096_dc1024:40-0,144.6361541748047,149.198328,1788828825.7096484,13563938.28310531,40,21.660326562821865
pf4096_dc1024:42,cmpl-pf4096_dc1024:42-0,117.40303039550781,123.52985,1788828825.904062,13563938.443588177,41,21.820809429511428
pf4096_dc1024:41,cmpl-pf4096_dc1024:41-0,135.32328605651855,140.614322,1788828825.886521,13563938.443758093,42,21.820979345589876
pf4096_dc1024:43,cmpl-pf4096_dc1024:43-0,86.16375923156738,90.309471,1788828826.0960453,13563938.610375922,43,21.987597174942493
pf4096_dc1024:44,cmpl-pf4096_dc1024:44-0,154.02865409851074,159.176716,1788828827.497885,13563940.079123743,44,23.45634499564767
pf4096_dc1024:45,cmpl-pf4096_dc1024:45-0,135.9424591064453,141.491351,1788828827.674116,13563940.23938247,45,23.616603722795844
pf4096_dc1024:46,cmpl-pf4096_dc1024:46-0,128.68332862854004,134.58418,1788828827.9963434,13563940.552844215,46,23.930065467953682
pf4096_dc1024:47,cmpl-pf4096_dc1024:47-0,142.6680088043213,148.494591,1788828828.6016638,13563941.173825173,47,24.55104642547667
pf4096_dc1024:48,cmpl-pf4096_dc1024:48-0,103.14273834228516,109.361901,1788828829.6455998,13563942.17589492,48,25.55311617255211
pf4096_dc1024:49,cmpl-pf4096_dc1024:49-0,149.60479736328125,155.435793,1788828830.0688426,13563942.647671737,49,26.02489298954606
pf4096_dc1024:50,cmpl-pf4096_dc1024:50-0,138.4596824645996,142.903319,1788828830.4743657,13563943.03938636,50,26.416607612743974
pf4096_dc1024:51,cmpl-pf4096_dc1024:51-0,90.67487716674805,96.162007,1788828830.8354542,13563943.3541731,51,26.731394352391362
pf4096_dc1024:52,cmpl-pf4096_dc1024:52-0,117.08950996398926,122.963297,1788828831.2776363,13563943.822185388,52,27.19940664060414
pf4096_dc1024:53,cmpl-pf4096_dc1024:53-0,88.64378929138184,94.226714,1788828831.3884668,13563943.90621021,53,27.283431462943554
pf4096_dc1024:54,cmpl-pf4096_dc1024:54-0,136.43360137939453,141.170386,1788828831.5838084,13563944.143836875,54,27.52105812728405
pf4096_dc1024:55,cmpl-pf4096_dc1024:55-0,93.57142448425293,100.422956,1788828831.8647952,13563944.384935899,55,27.76215715147555
pf4096_dc1024:56,cmpl-pf4096_dc1024:56-0,152.68421173095703,159.196324,1788828831.9664834,13563944.547293223,56,27.92451447620988
pf4096_dc1024:57,cmpl-pf4096_dc1024:57-0,90.4693603515625,97.436852,1788828832.8085876,13563945.328072196,57,28.705293448641896
pf4096_dc1024:58,cmpl-pf4096_dc1024:58-0,134.4306468963623,140.764431,1788828832.9250624,13563945.487721123,58,28.864942375570536
pf4096_dc1024:59,cmpl-pf4096_dc1024:59-0,94.00701522827148,98.613708,1788828833.4326303,13563945.954168325,59,29.331389578059316
pf4096_dc1024:60,cmpl-pf4096_dc1024:60-0,86.9600772857666,92.907515,1788828833.9058585,13563946.420465903,60,29.797687156125903
pf4096_dc1024:61,cmpl-pf4096_dc1024:61-0,120.21398544311523,126.922871,1788828834.1857064,13563946.734532824,61,30.11175407655537
pf4096_dc1024:62,cmpl-pf4096_dc1024:62-0,134.26947593688965,140.284802,1788828834.3336418,13563946.89513958,62,30.272360833361745
pf4096_dc1024:63,cmpl-pf4096_dc1024:63-0,155.97844123840332,161.414168,1788828834.395486,13563946.97854305,63,30.35576430335641
pf4096_dc1024:64,cmpl-pf4096_dc1024:64-0,146.4552879333496,153.314848,1788828834.948926,13563947.524420045,64,30.90164129808545
pf4096_dc1024:65,cmpl-pf4096_dc1024:65-0,120.55635452270508,127.511587,1788828835.366524,13563947.915851386,65,31.2930726390332
pf4096_dc1024:66,cmpl-pf4096_dc1024:66-0,136.86108589172363,143.870454,1788828835.9701211,13563948.53501233,66,31.91223358362913
