Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_first_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,request_waiting_time_total,request_waiting_time_prefill,request_waiting_time_decode,request_waiting_time_decode_attn,request_waiting_time_decode_ffn,request_hidden_waiting_time,request_final_waiting_time,request_hidden_service_time,request_final_service_time,final_round_prefill_wait_ms,final_round_decode_wait_ms,final_round_prefill_service_ms,late_hidden_prefill_wait_ms,request_thinking_time,request_tool_call_time,prefill_e2e_time,prefill_execution_plus_preemption,prefill_execution_plus_preemption_per_token,decode_e2e_time,decode_e2e_time_per_token,decode_first_token_latency,ttft,ttft_prefill_only,ttft_kv_transfer,ttft_decode_first_token,tpot,tpot_computation,tpot_transfer,transfer_kv_cache,transfer_m2n_total,transfer_m2n_attn_to_ffn,transfer_m2n_ffn_to_attn,cluster_prefill_computation,cluster_decode_attn_computation,cluster_decode_ffn_computation,cluster_decode_computation,cluster_decode_attn_e2e_time,cluster_decode_ffn_e2e_time,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_thinking_round_count,request_session_id,request_cohort,request_sj2q_pen_qshort_entries_total,request_sj2q_pen_qshort_long_history_entries_total,request_sj2q_pen_qlong_entries_total,request_sj2q_pen_long_history_to_qshort_reentry_count,request_sj2q_pen_first_long_history_round_number,request_total_preemption_count,request_prefill_preemption_count,request_decode_preemption_count,request_decode_attn_preemption_count,request_hidden_preemption_count,request_final_preemption_count,request_decode_tokens_at_preemption_all,request_decode_attn_tokens_at_preemption_all,request_decode_tokens_at_preemption_mean,request_decode_tokens_at_preemption_max,request_decode_tokens_at_preemption_min,request_spec_total_iterations,request_spec_accepted_drafts,request_spec_rejected_drafts,request_spec_committed_tokens,request_spec_acceptance_ratio,request_spec_committed_per_iteration
0,59096.12969894329,57.711064159124305,59096.12969894329,57.711064159124305,34198.023529500635,33.396507353027964,0.0,0.0,59096.12969894329,57.711064159124305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59096.12969894329,0.0,0.0,0.0,0.0,0.0,0.0,65.79007690374297,65.79007690374297,0.016062030494077874,59030.339622039544,57.64681603714799,51.99277054932217,65.79007690374297,65.79007690374297,0.0,0.0,57.70316678596241,57.70316678596241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
1,59127.99212473373,57.74217980931029,59091.37870185922,57.706424513534394,34164.7650516599,33.36402837076162,0.0,36.613422874517745,59091.37870185922,57.706424513534394,36.613422874517745,0.0,0.0,0.0,0.0,0.0,36.613422874517745,0.0,59091.37870185922,0.0,0.0,0.0,0.0,0.0,0.0,103.80559819262383,67.1921753181061,0.016404339677271996,59024.18652654112,57.64080715482531,54.943888698620654,103.80559819262383,67.1921753181061,0.0,36.613422874517745,57.69715202985446,57.69715202985446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811694245785474,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
2,59140.87887891628,57.75476453019168,59089.78691466904,57.70487003385649,34130.60327127771,33.33066725710714,0.0,51.09196424724313,59089.78691466904,57.70487003385649,51.09196424724313,0.0,0.0,0.0,0.0,0.0,51.09196424724313,0.0,59089.78691466904,0.0,0.0,0.0,0.0,0.0,0.0,118.30679653499374,67.2148322877506,0.01640987116400161,59022.57208238129,57.63923054920048,67.22062137414753,118.30679653499374,67.2148322877506,0.0,51.09196424724313,57.695573883070665,57.695573883070665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1626014113426209,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
3,59119.25863833676,57.73365101400074,59081.06388556993,57.696351450751884,34093.49201393972,33.29442579486301,0.0,38.19475276682621,59081.06388556993,57.696351450751884,38.19475276682621,0.0,0.0,0.0,0.0,0.0,38.19475276682621,0.0,59081.06388556993,0.0,0.0,0.0,0.0,0.0,0.0,105.41537414097374,67.22062137414753,0.016411284515172736,59013.843264195784,57.630706312691196,56.510097518778224,105.41537414097374,67.22062137414753,0.0,38.19475276682621,57.687041313974376,57.687041313974376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08011204376816752,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
4,59116.029897623775,57.73049794689822,59084.71983067294,57.69992170964154,34063.30260259387,33.26494394784557,0.0,31.310066950837488,59084.71983067294,57.69992170964154,31.310066950837488,0.0,0.0,0.0,0.0,0.0,31.310066950837488,0.0,59084.71983067294,0.0,0.0,0.0,0.0,0.0,0.0,98.59688221490637,67.28681526406888,0.016427445132829316,59017.43301540887,57.63421192911022,56.390131224002715,98.59688221490637,67.28681526406888,0.0,31.310066950837488,57.69055035719342,57.69055035719342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46967598982155323,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
5,59110.86359779029,57.72545273221708,59082.762266032594,57.698010025422455,34029.74141614171,33.23216935170089,0.0,28.101331757686143,59082.762266032594,57.698010025422455,28.101331757686143,0.0,0.0,0.0,0.0,0.0,28.101331757686143,0.0,59082.762266032594,0.0,0.0,0.0,0.0,0.0,0.0,124.29953684075245,96.19820508306631,0.023485889912857986,58986.56406094953,57.60406646577103,55.284621677792245,124.29953684075245,96.19820508306631,0.0,28.101331757686143,57.66037542614812,57.66037542614812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2396659441292286,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
6,59110.70443476229,57.725297299572546,59082.762266032594,57.698010025422455,34029.74141614171,33.23216935170089,0.0,27.942168729684358,59082.762266032594,57.698010025422455,27.942168729684358,0.0,0.0,0.0,0.0,0.0,27.942168729684358,0.0,59082.762266032594,0.0,0.0,0.0,0.0,0.0,0.0,124.14037381275067,96.19820508306631,0.023485889912857986,58986.56406094953,57.60406646577103,55.284621677792245,124.14037381275067,96.19820508306631,0.0,27.942168729684358,57.66037542614812,57.66037542614812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015916302800178528,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
7,59084.35469241806,57.699565129314514,59058.605192054376,57.6744191328656,33968.07367189859,33.17194694521347,0.0,25.74950036368806,59058.605192054376,57.6744191328656,25.74950036368806,0.0,0.0,0.0,0.0,0.0,25.74950036368806,0.0,59058.605192054376,0.0,0.0,0.0,0.0,0.0,0.0,93.12829486091489,67.37879449722683,0.01644990100029952,58991.22639755714,57.608619528864395,55.68517026301478,93.12829486091489,67.37879449722683,0.0,25.74950036368806,57.66493293993855,57.66493293993855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3195293601602316,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
8,59162.901493490725,57.776270989737036,59142.878746938535,57.75671752630716,33952.855404886745,33.15708535633471,0.0,20.022746552189385,59142.878746938535,57.75671752630716,20.022746552189385,0.0,0.0,0.0,0.0,0.0,20.022746552189385,0.0,59142.878746938535,0.0,0.0,0.0,0.0,0.0,0.0,87.45711613652985,67.43436958434046,0.01646346913680187,59075.44437735419,57.690863649759955,55.30473095764421,87.45711613652985,67.43436958434046,0.0,20.022746552189385,57.74725745586921,57.74725745586921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8550309967249632,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
9,59293.85682660795,57.90415705723433,59257.27455495477,57.86843218257302,33955.66321620604,33.15982735957621,0.0,36.58227165318362,59257.27455495477,57.86843218257302,36.58227165318362,0.0,0.0,0.0,0.0,0.0,36.58227165318362,0.0,59257.27455495477,0.0,0.0,0.0,0.0,0.0,0.0,104.120357724379,67.53808607119538,0.016488790544725435,59189.73646888357,57.802477020394115,55.30607208385163,104.120357724379,67.53808607119538,0.0,36.58227165318362,57.85897993048248,57.85897993048248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0971498899161816,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
10,59288.846317702155,57.89926398213101,59258.154188333,57.869291199543945,33921.42486635264,33.1263914710475,0.0,30.692129369152887,59258.154188333,57.869291199543945,30.692129369152887,0.0,0.0,0.0,0.0,0.0,30.692129369152887,0.0,59258.154188333,0.0,0.0,0.0,0.0,0.0,0.0,98.25571864825645,67.56358927910355,0.01649501691384364,59190.590599053896,57.80331113188857,55.31910983495436,98.25571864825645,67.56358927910355,0.0,30.692129369152887,57.859814857335195,57.859814857335195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239346444606781,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
11,59329.972846329656,57.939426607743805,59305.41577664445,57.91544509437934,33902.021464832396,33.10744283675039,0.0,24.557069685211097,59305.41577664445,57.91544509437934,24.557069685211097,0.0,0.0,0.0,0.0,0.0,24.557069685211097,0.0,59305.41577664445,0.0,0.0,0.0,0.0,0.0,0.0,92.13518240737085,67.57811272215974,0.01649856267630853,59237.837663922284,57.849450843674106,55.31992903497951,92.13518240737085,67.57811272215974,0.0,24.557069685211097,57.905999671478284,57.905999671478284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141235161572695,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
12,59349.175038478774,57.95817874851443,59346.833777426335,57.955892360767905,33884.176515866064,33.09001612877545,0.0,2.341261052445809,59346.833777426335,57.955892360767905,2.341261052445809,0.0,0.0,0.0,0.0,0.0,2.341261052445809,0.0,59346.833777426335,0.0,0.0,0.0,0.0,0.0,0.0,69.92019297458808,67.57893192214226,0.016498762676304263,59279.25484550419,57.889897310062686,55.38434615374399,69.92019297458808,67.57893192214226,0.0,2.341261052445809,57.94648567497966,57.94648567497966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0855526439845562,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
13,59380.3428184206,57.988616033613866,59340.24251922695,57.94945558518257,33847.77739494008,33.05447011224617,0.0,40.100299193649214,59340.24251922695,57.94945558518257,40.100299193649214,0.0,0.0,0.0,0.0,0.0,40.100299193649214,0.0,59340.24251922695,0.0,0.0,0.0,0.0,0.0,0.0,107.66834431614836,67.56804512249914,0.016496104766235142,59272.67447410445,57.88347116611763,55.38687408028409,107.66834431614836,67.56804512249914,0.0,40.100299193649214,57.940053249368965,57.940053249368965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08520423993468285,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
14,59378.26089758668,57.986582907799495,59361.13909492587,57.969862397388546,33822.02122228139,33.02931759988417,0.0,17.121802660815533,59361.13909492587,57.969862397388546,17.121802660815533,0.0,0.0,0.0,0.0,0.0,17.121802660815533,0.0,59361.13909492587,0.0,0.0,0.0,0.0,0.0,0.0,84.83836766207808,67.71656500126255,0.016532364502261365,59293.4225299246,57.903732939379495,55.18945673790654,84.83836766207808,67.71656500126255,0.0,17.121802660815533,57.96033482886081,57.96033482886081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998021565377712,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
15,59392.81164443359,58.00079262151718,59381.55604946484,57.989800829555506,33794.99675329757,33.00292651689216,0.0,11.25559496875006,59381.55604946484,57.989800829555506,11.25559496875006,0.0,0.0,0.0,0.0,0.0,11.25559496875006,0.0,59381.55604946484,0.0,0.0,0.0,0.0,0.0,0.0,78.96796257656113,67.71236760781107,0.01653133974800075,59313.843681857026,57.9236754705635,55.004707862934765,78.96796257656113,67.71236760781107,0.0,11.25559496875006,57.980296854210195,57.980296854210195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6254773400723934,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
16,59408.199412336486,58.01581973860985,59378.25940985672,57.986581454938204,33759.91896253709,32.96867086185263,0.0,29.940002479769134,59378.25940985672,57.986581454938204,29.940002479769134,0.0,0.0,0.0,0.0,0.0,29.940002479769134,0.0,59378.25940985672,0.0,0.0,0.0,0.0,0.0,0.0,97.51177262401,67.57177014424087,0.016497014195371307,59310.68763971248,57.92059339815672,55.35273996224532,97.51177262401,67.57177014424087,0.0,29.940002479769134,57.977211769024905,57.977211769024905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15903737582266153,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
