Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_first_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,request_waiting_time_total,request_waiting_time_prefill,request_waiting_time_decode,request_waiting_time_decode_attn,request_waiting_time_decode_ffn,request_hidden_waiting_time,request_final_waiting_time,request_hidden_service_time,request_final_service_time,final_round_prefill_wait_ms,final_round_decode_wait_ms,final_round_prefill_service_ms,late_hidden_prefill_wait_ms,request_thinking_time,request_tool_call_time,prefill_e2e_time,prefill_execution_plus_preemption,prefill_execution_plus_preemption_per_token,decode_e2e_time,decode_e2e_time_per_token,decode_first_token_latency,ttft,ttft_prefill_only,ttft_kv_transfer,ttft_decode_first_token,tpot,tpot_computation,tpot_transfer,transfer_kv_cache,transfer_m2n_total,transfer_m2n_attn_to_ffn,transfer_m2n_ffn_to_attn,cluster_prefill_computation,cluster_decode_attn_computation,cluster_decode_ffn_computation,cluster_decode_computation,cluster_decode_attn_e2e_time,cluster_decode_ffn_e2e_time,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_thinking_round_count,request_session_id,request_cohort,request_sj2q_pen_qshort_entries_total,request_sj2q_pen_qshort_long_history_entries_total,request_sj2q_pen_qlong_entries_total,request_sj2q_pen_long_history_to_qshort_reentry_count,request_sj2q_pen_first_long_history_round_number,request_total_preemption_count,request_prefill_preemption_count,request_decode_preemption_count,request_decode_attn_preemption_count,request_hidden_preemption_count,request_final_preemption_count,request_decode_tokens_at_preemption_all,request_decode_attn_tokens_at_preemption_all,request_decode_tokens_at_preemption_mean,request_decode_tokens_at_preemption_max,request_decode_tokens_at_preemption_min,request_spec_total_iterations,request_spec_accepted_drafts,request_spec_rejected_drafts,request_spec_committed_tokens,request_spec_acceptance_ratio,request_spec_committed_per_iteration
0,49811.809555185326,48.64434526873567,49811.809555185326,48.64434526873567,33756.67269031142,32.965500674132244,0.0,0.0,49811.809555185326,48.64434526873567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49811.809555185326,0.0,0.0,0.0,0.0,0.0,0.0,63.06111991539293,63.06111991539293,0.015395781229343977,49748.74843526993,48.58276214381829,42.74873847183169,63.06111991539293,63.06111991539293,0.0,0.0,48.630252624897295,48.630252624897295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
1,49815.87179054434,48.64831229545346,49807.80683389577,48.640436361226335,33728.47199637392,32.937960933958905,0.0,8.064956648576066,49807.80683389577,48.640436361226335,8.064956648576066,0.0,0.0,0.0,0.0,0.0,8.064956648576066,0.0,49807.80683389577,0.0,0.0,0.0,0.0,0.0,0.0,72.50574317118827,64.4407865226122,0.01573261389712212,49743.36604737315,48.57750590563784,45.3617695388486,72.50574317118827,64.4407865226122,0.0,8.064956648576066,48.624991248654105,48.624991248654105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404936402104795,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
2,49834.86058624128,48.66685604125125,49793.45387739018,48.62641980213885,33695.59822620493,32.90585764277825,0.0,41.406708851101065,49793.45387739018,48.62641980213885,41.406708851101065,0.0,0.0,0.0,0.0,0.0,41.406708851101065,0.0,49793.45387739018,0.0,0.0,0.0,0.0,0.0,0.0,105.85595105867215,64.44924220757109,0.015734678273332785,49729.00463518261,48.56348108904552,64.45613987642318,105.85595105867215,64.44924220757109,0.0,41.406708851101065,48.610952722563646,48.610952722563646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764608038589358,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
3,49810.9068087877,48.64346368045674,49776.697375803,48.61005603105762,33661.25278395399,32.87231717183007,0.0,34.20943298469614,49776.697375803,48.61005603105762,34.20943298469614,0.0,0.0,0.0,0.0,0.0,34.20943298469614,0.0,49776.697375803,0.0,0.0,0.0,0.0,0.0,0.0,98.66557286111932,64.45613987642318,0.015736362274517378,49712.24123592658,48.54711058195955,45.55780692348499,98.66557286111932,64.45613987642318,0.0,34.20943298469614,48.59456621302696,48.59456621302696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07164651807397601,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
4,49794.37866867152,48.62732291862453,49776.120398328625,48.6094925764928,33635.69940572359,32.84736270090195,0.0,18.25827034289629,49776.120398328625,48.6094925764928,18.25827034289629,0.0,0.0,0.0,0.0,0.0,18.25827034289629,0.0,49776.120398328625,0.0,0.0,0.0,0.0,0.0,0.0,82.77949552678831,64.52122518389203,0.01575225224216114,49711.599173144736,48.546483567524156,45.613662254837095,82.77949552678831,64.52122518389203,0.0,18.25827034289629,48.59393858567423,48.59393858567423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490427564829588,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
5,49775.04869527916,48.608445991483556,49765.2983120779,48.59892413288858,33604.905256767226,32.817290289811744,0.0,9.750383201259872,49765.2983120779,48.59892413288858,9.750383201259872,0.0,0.0,0.0,0.0,0.0,9.750383201259872,0.0,49765.2983120779,0.0,0.0,0.0,0.0,0.0,0.0,103.37458604088079,93.62420283962092,0.022857471396391826,49671.67410923828,48.50749424730301,45.807233285731996,103.37458604088079,93.62420283962092,0.0,9.750383201259872,48.554911152725595,48.554911152725595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20987009909003973,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
6,49774.839828031014,48.60824201956154,49765.2983120779,48.59892413288858,33604.905256767226,32.817290289811744,0.0,9.541515953112146,49765.2983120779,48.59892413288858,9.541515953112146,0.0,0.0,0.0,0.0,0.0,9.541515953112146,0.0,49765.2983120779,0.0,0.0,0.0,0.0,0.0,0.0,103.16571879273306,93.62420283962092,0.022857471396391826,49671.67410923828,48.50749424730301,45.807233285731996,103.16571879273306,93.62420283962092,0.0,9.541515953112146,48.554911152725595,48.554911152725595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020886724814772606,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
7,49751.258444436695,48.58521332464521,49730.264460696264,48.564711387398695,33548.02814988876,32.761746240125746,0.0,20.993983740427158,49730.264460696264,48.564711387398695,20.993983740427158,0.0,0.0,0.0,0.0,0.0,20.993983740427158,0.0,49730.264460696264,0.0,0.0,0.0,0.0,0.0,0.0,85.60676370061282,64.61277996018566,0.015774604482467203,49665.65168073608,48.50161296946883,46.214496480505574,85.60676370061282,64.61277996018566,0.0,20.993983740427158,48.549024125841726,48.549024125841726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3570151347666979,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
8,49790.94516650167,48.623969889161785,49768.584342261755,48.602133146739995,33540.41086882051,32.75430748908253,0.0,22.36082423991048,49768.584342261755,48.602133146739995,22.36082423991048,0.0,0.0,0.0,0.0,0.0,22.36082423991048,0.0,49768.584342261755,0.0,0.0,0.0,0.0,0.0,0.0,87.02919824010236,64.66837400019187,0.015788177246140594,49703.915968261565,48.538980437755434,45.8273425655733,87.02919824010236,64.66837400019187,0.0,22.36082423991048,48.586428121467804,48.586428121467804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8656113022007044,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
9,49860.352267034206,48.69175026077559,49830.93129194274,48.66301883978783,33553.581908918175,32.767169832927905,0.0,29.420975091468016,49830.93129194274,48.66301883978783,29.420975091468016,0.0,0.0,0.0,0.0,0.0,29.420975091468016,0.0,49830.93129194274,0.0,0.0,0.0,0.0,0.0,0.0,94.14925427451149,64.72827918304347,0.015802802534922722,49766.203012759695,48.59980762964814,45.828683691780725,94.14925427451149,64.72827918304347,0.0,29.420975091468016,48.647314772981126,48.647314772981126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0740112960338597,5120,4096,1024,4.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0.0,0.0
