request_id,segment,time_s,native_engine,native_snapshot,native_snapshot_publish_s,native_counts,frontier_engine,frontier_last_publish_s,frontier_counts,status,first_cause
dpp1g3-w0,warmup,0.0,0,0,,"[[0, 0], [0, 0]]",0,-5.0,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-w1,warmup,0.99127,0,3,0.930946,"[[0, 0], [0, 0]]",0,0.93,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-w2,warmup,1.993784,0,5,1.183216,"[[0, 0], [0, 0]]",0,1.138,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-b5,burst,10.033533,0,8,7.141822,"[[0, 0], [0, 0]]",0,7.137,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-b4,burst,10.033836,1,8,7.141822,"[[1, 0], [0, 0]]",1,7.137,"[[1, 0], [0, 0]]",MATCH,
dpp1g3-b3,burst,10.034114,0,8,7.141822,"[[1, 0], [1, 0]]",0,7.137,"[[1, 0], [1, 0]]",MATCH,
dpp1g3-b1,burst,10.034458,1,8,7.141822,"[[2, 0], [1, 0]]",1,7.137,"[[2, 0], [1, 0]]",MATCH,
dpp1g3-b2,burst,10.034771,0,8,7.141822,"[[2, 0], [2, 0]]",0,7.137,"[[2, 0], [2, 0]]",MATCH,
dpp1g3-b6,burst,10.141477,0,9,10.120791,"[[0, 1], [0, 1]]",0,10.12,"[[0, 1], [0, 1]]",MATCH,
dpp1g3-s00,steady,30.005923,0,17,26.408048,"[[0, 0], [0, 0]]",0,26.395,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-s01,steady,30.051214,1,17,26.408048,"[[1, 0], [0, 0]]",1,26.395,"[[1, 0], [0, 0]]",MATCH,
dpp1g3-s02,steady,30.111552,1,18,30.078724,"[[0, 1], [0, 0]]",1,30.078,"[[0, 1], [0, 0]]",MATCH,
dpp1g3-s03,steady,30.17235,0,18,30.078724,"[[0, 1], [1, 0]]",0,30.078,"[[0, 1], [1, 0]]",MATCH,
dpp1g3-s04,steady,30.232307,0,19,30.179359,"[[0, 1], [0, 1]]",0,30.178,"[[0, 1], [0, 1]]",MATCH,
dpp1g3-s05,steady,30.290753,0,20,30.279253,"[[0, 2], [0, 2]]",0,30.278,"[[0, 2], [0, 2]]",MATCH,
dpp1g3-s06,steady,30.351136,1,20,30.279253,"[[1, 2], [0, 2]]",1,30.278,"[[1, 2], [0, 2]]",MATCH,
dpp1g3-s07,steady,30.411623,1,21,30.378676,"[[0, 4], [0, 2]]",1,30.378,"[[0, 4], [0, 2]]",MATCH,
dpp1g3-s08,steady,30.470462,0,21,30.378676,"[[0, 4], [1, 2]]",0,30.378,"[[0, 4], [1, 2]]",MATCH,
dpp1g3-s09,steady,30.530915,0,22,30.479163,"[[0, 4], [0, 4]]",0,30.478,"[[0, 4], [0, 4]]",MATCH,
dpp1g3-s10,steady,30.5915,1,23,30.579397,"[[0, 5], [0, 3]]",1,30.578,"[[0, 5], [0, 3]]",MATCH,
dpp1g3-s11,steady,30.651971,0,23,30.579397,"[[0, 5], [1, 3]]",0,30.578,"[[0, 5], [1, 3]]",MATCH,
dpp1g3-s12,steady,30.711205,1,24,30.679475,"[[0, 6], [0, 3]]",1,30.678,"[[0, 6], [0, 3]]",MATCH,
dpp1g3-s13,steady,30.770822,0,24,30.679475,"[[0, 6], [1, 3]]",0,30.678,"[[0, 6], [1, 3]]",MATCH,
dpp1g3-s14,steady,30.831488,0,25,30.780075,"[[0, 5], [0, 5]]",0,30.778,"[[0, 5], [0, 5]]",MATCH,
dpp1g3-s15,steady,30.892159,0,26,30.879963,"[[0, 5], [0, 5]]",0,30.878,"[[0, 5], [0, 5]]",MATCH,
dpp1g3-s16,steady,30.950569,1,26,30.879963,"[[1, 5], [0, 5]]",1,30.878,"[[1, 5], [0, 5]]",MATCH,
dpp1g3-s17,steady,31.010307,1,27,30.980484,"[[0, 6], [0, 5]]",1,30.978,"[[0, 6], [0, 5]]",MATCH,
dpp1g3-s18,steady,31.070441,0,27,30.980484,"[[0, 6], [1, 5]]",0,30.978,"[[0, 6], [1, 5]]",MATCH,
dpp1g3-s19,steady,31.131612,0,28,31.080988,"[[0, 5], [0, 5]]",0,31.078,"[[0, 5], [0, 5]]",MATCH,
dpp1g3-s20,steady,31.191019,0,29,31.180646,"[[0, 5], [0, 6]]",0,31.178,"[[0, 5], [0, 6]]",MATCH,
dpp1g3-s21,steady,31.250522,1,29,31.180646,"[[1, 5], [0, 6]]",1,31.178,"[[1, 5], [0, 6]]",MATCH,
dpp1g3-s22,steady,31.310743,0,30,31.281072,"[[0, 5], [0, 5]]",0,31.278,"[[0, 5], [0, 5]]",MATCH,
dpp1g3-s23,steady,31.371274,1,30,31.281072,"[[1, 5], [0, 5]]",1,31.278,"[[1, 5], [0, 5]]",MATCH,
dpp1g3-z0,sizing,39.374071,0,40,37.36758,"[[0, 0], [0, 0]]",0,37.362,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-z1,sizing,43.375201,0,42,39.546899,"[[0, 0], [0, 0]]",0,39.546,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-z2,sizing,47.373833,0,44,43.545964,"[[0, 0], [0, 0]]",0,43.546,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-z3,sizing,51.374934,0,46,47.56329,"[[0, 0], [0, 0]]",0,47.562,"[[0, 0], [0, 0]]",MATCH,
dpp1g3-z4,sizing,55.374806,0,48,51.606701,"[[0, 0], [0, 0]]",0,51.606,"[[0, 0], [0, 0]]",MATCH,
