request_id,segment,time_s,native_engine,native_snapshot,native_snapshot_publish_s,native_counts,frontier_engine,frontier_last_publish_s,frontier_counts,status,first_cause
dpp2-w0,warmup,0.0,0,2,-3.241935,"[[0, 0], [0, 0]]",0,-5.0,"[[0, 0], [0, 0]]",MATCH,
dpp2-w1,warmup,0.992919,1,3,0.051431,"[[0, 1], [0, 0]]",1,0.051,"[[0, 1], [0, 0]]",MATCH,
dpp2-w2,warmup,1.991872,0,6,1.285448,"[[0, 0], [0, 0]]",0,1.285,"[[0, 0], [0, 0]]",MATCH,
dpp2-a-b1,burst,22.003406,0,11,17.155472,"[[0, 0], [0, 0]]",0,17.143,"[[0, 0], [0, 0]]",MATCH,
dpp2-a-b3,burst,22.0038,1,11,17.155472,"[[1, 0], [0, 0]]",1,17.143,"[[1, 0], [0, 0]]",MATCH,
dpp2-a-b4,burst,22.004019,0,11,17.155472,"[[1, 0], [1, 0]]",0,17.143,"[[1, 0], [1, 0]]",MATCH,
dpp2-a-b5,burst,22.004235,1,11,17.155472,"[[2, 0], [1, 0]]",1,17.143,"[[2, 0], [1, 0]]",MATCH,
dpp2-a-b2,burst,22.004467,0,11,17.155472,"[[2, 0], [2, 0]]",0,17.143,"[[2, 0], [2, 0]]",MATCH,
dpp2-a-b6,burst,22.076686,0,12,22.038459,"[[0, 1], [0, 1]]",0,22.038,"[[0, 1], [0, 1]]",MATCH,
dpp2-b-b1,burst,42.084554,0,21,39.648319,"[[0, 0], [0, 0]]",0,39.637,"[[0, 0], [0, 0]]",MATCH,
dpp2-b-b3,burst,42.084991,1,21,39.648319,"[[1, 0], [0, 0]]",1,39.637,"[[1, 0], [0, 0]]",MATCH,
dpp2-b-b4,burst,42.085286,0,21,39.648319,"[[1, 0], [1, 0]]",0,39.637,"[[1, 0], [1, 0]]",MATCH,
dpp2-b-b5,burst,42.085526,1,21,39.648319,"[[2, 0], [1, 0]]",1,39.637,"[[2, 0], [1, 0]]",MATCH,
dpp2-b-b2,burst,42.08579,0,21,39.648319,"[[2, 0], [2, 0]]",0,39.637,"[[2, 0], [2, 0]]",MATCH,
dpp2-b-b6,burst,42.182416,0,22,42.115742,"[[0, 1], [0, 1]]",0,42.115,"[[0, 1], [0, 1]]",MATCH,
dpp2-c-b1,burst,62.189053,0,30,59.068313,"[[0, 0], [0, 0]]",0,59.052,"[[0, 0], [0, 0]]",MATCH,
dpp2-c-b3,burst,62.189429,1,30,59.068313,"[[1, 0], [0, 0]]",1,59.052,"[[1, 0], [0, 0]]",MATCH,
dpp2-c-b4,burst,62.189658,0,30,59.068313,"[[1, 0], [1, 0]]",0,59.052,"[[1, 0], [1, 0]]",MATCH,
dpp2-c-b5,burst,62.189855,1,30,59.068313,"[[2, 0], [1, 0]]",1,59.052,"[[2, 0], [1, 0]]",MATCH,
dpp2-c-b2,burst,62.190088,0,30,59.068313,"[[2, 0], [2, 0]]",0,59.052,"[[2, 0], [2, 0]]",MATCH,
dpp2-c-b6,burst,62.307846,0,31,62.210577,"[[0, 1], [0, 1]]",0,62.21,"[[0, 1], [0, 1]]",MATCH,
dpp2-d-b1,burst,82.308196,0,40,78.951367,"[[0, 0], [0, 0]]",0,78.895,"[[0, 0], [0, 0]]",MATCH,
dpp2-d-b2,burst,82.32017,1,40,78.951367,"[[1, 0], [0, 0]]",1,78.895,"[[1, 0], [0, 0]]",MATCH,
dpp2-d-b3,burst,82.321236,0,40,78.951367,"[[1, 0], [1, 0]]",0,78.895,"[[1, 0], [1, 0]]",MATCH,
dpp2-d-b4,burst,82.325351,1,40,78.951367,"[[2, 0], [1, 0]]",1,78.895,"[[2, 0], [1, 0]]",MATCH,
dpp2-d-b5,burst,82.331091,1,41,82.329627,"[[0, 1], [0, 0]]",1,82.329,"[[0, 1], [0, 0]]",MATCH,
