burst,request_id,trace_position,num_prefill_tokens,native_route_seq,native_engine,native_snapshot,native_counts,frontier_vllm_load_balancing,frontier_completion_reporting_control,frontier_round_robin,status
a,dpp2-a-b1,1,32,13,0,11,"[[0, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
a,dpp2-a-b2,2,40896,17,0,11,"[[2, 0], [2, 0]]",1,1,0,SCENARIO_NOT_REACHED
a,dpp2-a-b3,3,32,14,1,11,"[[1, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
a,dpp2-a-b4,4,32,15,0,11,"[[1, 0], [1, 0]]",1,1,0,SCENARIO_NOT_REACHED
a,dpp2-a-b5,5,32,16,1,11,"[[2, 0], [1, 0]]",0,0,1,SCENARIO_NOT_REACHED
a,dpp2-a-b6,6,32,19,0,12,"[[0, 1], [0, 1]]",0,1,0,SCENARIO_NOT_REACHED
b,dpp2-b-b1,1,32,29,0,21,"[[0, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
b,dpp2-b-b2,2,40896,33,0,21,"[[2, 0], [2, 0]]",1,1,0,SCENARIO_NOT_REACHED
b,dpp2-b-b3,3,32,30,1,21,"[[1, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
b,dpp2-b-b4,4,32,31,0,21,"[[1, 0], [1, 0]]",1,1,0,SCENARIO_NOT_REACHED
b,dpp2-b-b5,5,32,32,1,21,"[[2, 0], [1, 0]]",0,0,1,SCENARIO_NOT_REACHED
b,dpp2-b-b6,6,32,35,0,22,"[[0, 1], [0, 1]]",0,1,0,SCENARIO_NOT_REACHED
c,dpp2-c-b1,1,32,44,0,30,"[[0, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
c,dpp2-c-b2,2,40896,48,0,30,"[[2, 0], [2, 0]]",1,1,0,SCENARIO_NOT_REACHED
c,dpp2-c-b3,3,32,45,1,30,"[[1, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
c,dpp2-c-b4,4,32,46,0,30,"[[1, 0], [1, 0]]",1,1,0,SCENARIO_NOT_REACHED
c,dpp2-c-b5,5,32,47,1,30,"[[2, 0], [1, 0]]",0,0,1,SCENARIO_NOT_REACHED
c,dpp2-c-b6,6,32,50,0,31,"[[0, 1], [0, 1]]",0,1,0,SCENARIO_NOT_REACHED
d,dpp2-d-b1,1,32,60,0,40,"[[0, 0], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
d,dpp2-d-b2,2,40896,61,1,40,"[[1, 0], [0, 0]]",1,1,0,SCENARIO_NOT_REACHED
d,dpp2-d-b3,3,32,62,0,40,"[[1, 0], [1, 0]]",0,0,1,SCENARIO_NOT_REACHED
d,dpp2-d-b4,4,32,63,1,40,"[[2, 0], [1, 0]]",1,1,0,SCENARIO_NOT_REACHED
d,dpp2-d-b5,5,32,65,1,41,"[[0, 1], [0, 0]]",0,0,1,SCENARIO_NOT_REACHED
d,dpp2-d-b6,6,32,66,0,41,"[[0, 1], [1, 0]]",0,1,0,SCENARIO_NOT_REACHED
