arrived_at,num_prefill_tokens,num_decode_tokens
0.0,64,4
1.0,64,4
2.0,64,4
22.0,32,64
22.00025,40896,64
22.0005,32,64
22.00075,32,64
22.001,32,64
22.085,32,64
42.085,32,64
42.08525,40896,64
42.0855,32,64
42.08575,32,64
42.086,32,64
42.19,32,64
62.19,32,64
62.19025,40896,64
62.1905,32,64
62.19075,32,64
62.191,32,64
62.316,32,64
82.316,32,64
82.322,40896,64
82.328,32,64
82.334,32,64
82.34,32,64
82.421,32,64
102.316,128,64
102.376,512,32
102.436,256,96
102.496,1024,48
102.556,128,64
102.616,512,32
102.676,256,96
102.736,1024,48
102.796,128,64
102.856,512,32
102.916,256,96
102.976,1024,48
103.036,128,64
103.096,512,32
103.156,256,96
103.216,1024,48
103.276,128,64
103.336,512,32
103.396,256,96
103.456,1024,48
103.516,128,64
103.576,512,32
103.636,256,96
103.696,1024,48
