snapshot,counts_waiting_running,counts_source,wave,publish_monotonic,applied_monotonic,provenance
1,"[[0, 0], [0, 0]]",current,0,2600619.471751647,,"[null, null]"
2,"[[0, 1], [0, 0]]",current,0,2600621.919333757,2600621.919701235,"[{""engine"": 0, ""wave"": 0, ""step"": 0, ""iteration_seq"": 0, ""branch"": ""applied_after_scheduling""}, null]"
3,"[[0, 0], [0, 0]]",current,0,2600622.330624881,2600622.330945327,"[{""engine"": 0, ""wave"": 0, ""step"": 3, ""iteration_seq"": 3, ""branch"": ""applied_after_scheduling""}, null]"
4,"[[0, 1], [0, 0]]",latched_previous_step,0,2600622.438604644,2600622.439291482,"[{""engine"": 0, ""wave"": 0, ""step"": 17, ""iteration_seq"": 5, ""branch"": ""applied_after_scheduling""}, null]"
5,"[[0, 0], [0, 0]]",current,1,2600622.582895199,2600622.583010887,"[{""engine"": 0, ""wave"": 0, ""step"": 20, ""iteration_seq"": 8, ""branch"": ""applied_after_scheduling""}, null]"
6,"[[0, 1], [0, 0]]",latched_previous_step,1,2600623.436709126,2600623.437384571,"[{""engine"": 0, ""wave"": 1, ""step"": 0, ""iteration_seq"": 10, ""branch"": ""applied_after_scheduling""}, null]"
7,"[[0, 0], [0, 0]]",current,1,2600623.536847274,2600623.537106031,"[{""engine"": 0, ""wave"": 1, ""step"": 3, ""iteration_seq"": 13, ""branch"": ""applied_after_scheduling""}, null]"
8,"[[0, 0], [0, 0]]",current,2,2600628.541501372,2600628.541813363,"[{""engine"": 0, ""wave"": 1, ""step"": 3, ""iteration_seq"": 13, ""branch"": ""applied_after_scheduling""}, null]"
9,"[[0, 1], [0, 1]]",current,2,2600631.520470569,2600631.520639526,"[{""engine"": 0, ""wave"": 2, ""step"": 0, ""iteration_seq"": 15, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 0, ""iteration_seq"": 0, ""branch"": ""applied_after_scheduling""}]"
10,"[[0, 3], [0, 2]]",latched_previous_step,2,2600631.699076451,2600631.69923575,"[{""engine"": 0, ""wave"": 2, ""step"": 1, ""iteration_seq"": 16, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 1, ""iteration_seq"": 1, ""branch"": ""applied_after_scheduling""}]"
11,"[[0, 4], [0, 2]]",current,2,2600631.799276469,2600631.79947452,"[{""engine"": 0, ""wave"": 2, ""step"": 2, ""iteration_seq"": 17, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 1, ""iteration_seq"": 1, ""branch"": ""applied_after_scheduling""}]"
12,"[[0, 3], [0, 1]]",latched_previous_step,2,2600632.355018812,2600632.355746324,"[{""engine"": 0, ""wave"": 2, ""step"": 63, ""iteration_seq"": 78, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 63, ""iteration_seq"": 63, ""branch"": ""applied_after_scheduling""}]"
13,"[[0, 2], [0, 0]]",current,2,2600632.455207872,2600632.45552386,"[{""engine"": 0, ""wave"": 2, ""step"": 64, ""iteration_seq"": 79, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
14,"[[0, 0], [0, 0]]",current,2,2600632.794848832,2600632.795148404,"[{""engine"": 0, ""wave"": 2, ""step"": 65, ""iteration_seq"": 80, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
15,"[[0, 0], [0, 0]]",current,3,2600637.799173253,2600637.799511879,"[{""engine"": 0, ""wave"": 2, ""step"": 65, ""iteration_seq"": 80, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
16,"[[0, 0], [0, 0]]",current,3,2600642.804332541,2600642.804640034,"[{""engine"": 0, ""wave"": 2, ""step"": 65, ""iteration_seq"": 80, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
17,"[[0, 0], [0, 0]]",current,3,2600647.80772686,2600647.807992254,"[{""engine"": 0, ""wave"": 2, ""step"": 65, ""iteration_seq"": 80, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
18,"[[0, 1], [0, 0]]",current,3,2600651.478403214,2600651.478584072,"[{""engine"": 0, ""wave"": 3, ""step"": 0, ""iteration_seq"": 82, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 2, ""step"": 64, ""iteration_seq"": 64, ""branch"": ""applied_after_scheduling""}]"
19,"[[0, 1], [0, 1]]",latched_previous_step,3,2600651.579038364,2600651.579217842,"[{""engine"": 0, ""wave"": 3, ""step"": 0, ""iteration_seq"": 82, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 4, ""iteration_seq"": 66, ""branch"": ""applied_after_scheduling""}]"
20,"[[0, 2], [0, 2]]",latched_previous_step,3,2600651.678932468,2600651.679102757,"[{""engine"": 0, ""wave"": 3, ""step"": 14, ""iteration_seq"": 96, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 9, ""iteration_seq"": 71, ""branch"": ""applied_after_scheduling""}]"
21,"[[0, 4], [0, 2]]",latched_previous_step,3,2600651.77835526,2600651.778521059,"[{""engine"": 0, ""wave"": 3, ""step"": 23, ""iteration_seq"": 105, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 9, ""iteration_seq"": 71, ""branch"": ""applied_after_scheduling""}]"
22,"[[0, 4], [0, 4]]",latched_previous_step,3,2600651.878842478,2600651.879014298,"[{""engine"": 0, ""wave"": 3, ""step"": 23, ""iteration_seq"": 105, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 34, ""iteration_seq"": 96, ""branch"": ""applied_after_scheduling""}]"
23,"[[0, 5], [0, 3]]",latched_previous_step,3,2600651.979075878,2600651.979262413,"[{""engine"": 0, ""wave"": 3, ""step"": 38, ""iteration_seq"": 120, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 35, ""iteration_seq"": 97, ""branch"": ""applied_after_scheduling""}]"
24,"[[0, 6], [0, 3]]",latched_previous_step,3,2600652.07915447,2600652.079370144,"[{""engine"": 0, ""wave"": 3, ""step"": 44, ""iteration_seq"": 126, ""branch"": ""applied_after_scheduling""}, {""engine"": 1, ""wave"": 3, ""step"": 35, ""iteration_seq"": 97, ""branch"": ""applied_after_scheduling""}]"
