request_id,segment,role,arrived_at,dispatch_offset_s,route_monotonic,route_seq,engine,snapshot,counts_used,score,start_index,reservation,admitted_wave,admitted_step,admitted_branch,admitted_monotonic,http_status,ttft_ms,model_execution_time_ms
dpp2-w0,warmup,warmup,0.0,0.0014068509917706251,560607.165806584,1,0,2,"[[0, 0], [0, 0]]",0,0,1,0,0,scheduled_without_applying,560607.167144036,200,571.8262195587158,1162.6797269564122
dpp2-w1,warmup,warmup,1.0,1.001485424931161,560608.158726065,3,1,3,"[[0, 1], [0, 0]]",0,0,1,0,2,scheduled_without_applying,560608.170612876,200,130.35964965820312,180.77112804166973
dpp2-w2,warmup,warmup,2.0,2.000894045922905,560609.157678991,7,0,6,"[[0, 0], [0, 0]]",0,0,1,1,0,scheduled_without_applying,560609.158646116,200,15.950679779052734,64.60733490530401
dpp2-a-b1,burst,formal,22.0,22.006167780957185,560629.169212476,13,0,11,"[[0, 0], [0, 0]]",0,0,1,2,0,scheduled_without_applying,560629.170007208,200,34.39688682556152,2419.0546050667763
dpp2-a-b2,burst,formal,22.00025,22.00668801390566,560629.170273582,17,0,11,"[[2, 0], [2, 0]]",8,0,1,2,2,applied_after_scheduling,560629.216564332,200,306.50997161865234,2428.5370749421418
dpp2-a-b3,burst,formal,22.0005,22.00698378996458,560629.169606897,14,1,11,"[[1, 0], [0, 0]]",0,0,1,2,0,scheduled_without_applying,560629.17035958,200,34.0421199798584,2418.7704859068617
dpp2-a-b4,burst,formal,22.00075,22.00716408295557,560629.169825509,15,0,11,"[[1, 0], [1, 0]]",4,0,1,2,2,applied_after_scheduling,560629.216564332,200,155.85899353027344,2407.3342060437426
dpp2-a-b5,burst,formal,22.001,22.00732893589884,560629.170041398,16,1,11,"[[2, 0], [1, 0]]",4,0,1,2,1,applied_after_scheduling,560629.203078782,200,46.14567756652832,2432.6692550675943
dpp2-a-b6,burst,formal,22.085,22.085608755005524,560629.242492339,19,0,12,"[[0, 1], [0, 1]]",1,0,1,2,4,applied_after_scheduling,560629.454875475,200,234.41004753112793,2318.2781659998
dpp2-b-b1,burst,formal,42.085,42.08824620989617,560649.250360203,29,0,21,"[[0, 0], [0, 0]]",0,0,1,3,0,scheduled_without_applying,560649.251324457,200,25.919198989868164,1740.8114329446107
dpp2-b-b2,burst,formal,42.08525,42.08864967699628,560649.251596917,33,0,21,"[[2, 0], [2, 0]]",8,0,1,3,2,applied_after_scheduling,560649.282204598,200,344.26069259643555,1763.0407540127635
dpp2-b-b3,burst,formal,42.0855,42.08890640200116,560649.25079756,30,1,21,"[[1, 0], [0, 0]]",0,0,1,3,0,scheduled_without_applying,560649.251699511,200,25.228261947631836,1740.1548579800874
dpp2-b-b4,burst,formal,42.08575,42.08905354491435,560649.251092433,31,0,21,"[[1, 0], [1, 0]]",4,0,1,3,2,applied_after_scheduling,560649.282204598,200,147.92346954345703,1737.286332063377
dpp2-b-b5,burst,formal,42.086,42.089182288968004,560649.251332406,32,1,21,"[[2, 0], [1, 0]]",4,0,1,3,2,applied_after_scheduling,560649.281165463,200,147.36270904541016,1736.889070016332
dpp2-b-b6,burst,formal,42.19,42.191173078957945,560649.348222477,35,0,22,"[[0, 1], [0, 1]]",1,0,1,3,4,applied_after_scheduling,560649.58079311,200,247.8046417236328,1645.496489945799
dpp2-c-b1,burst,formal,62.19,62.19318248599302,560669.354859205,44,0,30,"[[0, 0], [0, 0]]",0,0,1,4,0,scheduled_without_applying,560669.355860272,200,21.869897842407227,1498.879826045595
dpp2-c-b2,burst,formal,62.19025,62.193563037901185,560669.355894666,48,0,30,"[[2, 0], [2, 0]]",8,0,1,4,2,applied_after_scheduling,560669.385497279,200,274.75976943969727,1521.4962050085887
dpp2-c-b3,burst,formal,62.1905,62.19389713695273,560669.355235821,45,1,30,"[[1, 0], [0, 0]]",0,0,1,4,0,scheduled_without_applying,560669.355982446,200,21.679401397705078,1498.5602810047567
dpp2-c-b4,burst,formal,62.19075,62.19402345595881,560669.355465083,46,0,30,"[[1, 0], [1, 0]]",4,0,1,4,1,applied_after_scheduling,560669.376134184,200,31.11720085144043,1505.0670929485932
dpp2-c-b5,burst,formal,62.191,62.19413436099421,560669.355661694,47,1,30,"[[2, 0], [1, 0]]",4,0,1,4,1,applied_after_scheduling,560669.376139186,200,30.604839324951172,1504.806837067008
dpp2-c-b6,burst,formal,62.316,62.317080911947414,560669.473652481,50,0,31,"[[0, 1], [0, 1]]",1,0,1,4,4,applied_after_scheduling,560669.61645299,200,157.08661079406738,1410.827966989018
dpp2-d-b1,burst,formal,82.316,82.31718655489385,560689.474002719,60,0,40,"[[0, 0], [0, 0]]",0,0,1,5,0,scheduled_without_applying,560689.474787176,200,20.232677459716797,1942.8763940231875
dpp2-d-b2,burst,formal,82.322,82.32292898499873,560689.485976857,61,1,40,"[[1, 0], [0, 0]]",0,0,1,5,1,scheduled_without_applying,560689.495091359,200,300.39095878601074,1953.5189879825339
dpp2-d-b3,burst,formal,82.328,82.32868928893004,560689.487042308,62,0,40,"[[1, 0], [1, 0]]",4,0,1,5,2,applied_after_scheduling,560689.603481651,200,298.84839057922363,1843.9080259995535
dpp2-d-b4,burst,formal,82.334,82.33410516998265,560689.491157158,63,1,40,"[[2, 0], [1, 0]]",4,0,1,5,3,applied_after_scheduling,560689.7858491,200,308.7122440338135,1856.1759170843288
dpp2-d-b5,burst,formal,82.34,82.34052380395588,560689.49689752,65,1,41,"[[0, 1], [0, 0]]",0,0,1,5,3,applied_after_scheduling,560689.7858491,200,302.9496669769287,1856.1759170843288
dpp2-d-b6,burst,formal,82.421,82.4220844960073,560689.578844274,66,0,41,"[[0, 1], [1, 0]]",1,0,1,5,2,applied_after_scheduling,560689.603481651,200,207.0901393890381,1843.9080259995535
dpp2-s00,steady,formal,102.316,102.31885196000803,560709.475592747,76,0,50,"[[0, 0], [0, 0]]",0,0,1,6,0,scheduled_without_applying,560709.476659104,200,37.93454170227051,1546.7058399226516
dpp2-s01,steady,formal,102.376,102.37658676400315,560709.533312157,78,1,51,"[[0, 1], [0, 0]]",0,0,1,6,4,scheduled_without_applying,560709.535906138,200,35.64953804016113,729.5917780138552
dpp2-s02,steady,formal,102.436,102.4374212109251,560709.593818746,79,0,51,"[[0, 1], [1, 0]]",1,0,1,6,10,applied_after_scheduling,560709.607662003,200,43.12729835510254,2249.998560990207
dpp2-s03,steady,formal,102.496,102.49802448297851,560709.655024982,81,0,52,"[[0, 1], [0, 1]]",1,0,1,6,14,applied_after_scheduling,560709.658937063,200,35.564422607421875,1160.3960120119154
dpp2-s04,steady,formal,102.556,102.55674354499206,560709.713445578,82,1,52,"[[1, 1], [0, 1]]",1,0,1,6,20,applied_after_scheduling,560709.73036396,200,45.21489143371582,1510.521713993512
dpp2-s05,steady,formal,102.616,102.61752136191353,560709.774040315,84,1,53,"[[0, 2], [0, 1]]",1,0,1,6,24,applied_after_scheduling,560709.780802043,200,35.520076751708984,727.7308059856296
dpp2-s06,steady,formal,102.676,102.67625843395945,560709.833276079,86,1,54,"[[0, 3], [0, 2]]",2,0,1,6,30,applied_after_scheduling,560709.851250744,200,47.951698303222656,2231.537364074029
