# request_total_preemption_count sums every cluster type, MONOLITHIC included;
# a request that never completes has an empty row, so its preemptions are not counted.
case | side | rows | completed | total_preemptions_of_completed
dense_dp1__asymmetric_trace | before | 6 | 6 | 0
dense_dp1__asymmetric_trace | after | 6 | 6 | 0
dense_dp1__burst_fixed_n16 | before | 16 | 16 | 0
dense_dp1__burst_fixed_n16 | after | 16 | 16 | 0
dense_dp1__burst_fixed_n4 | before | 4 | 4 | 0
dense_dp1__burst_fixed_n4 | after | 4 | 4 | 0
dense_dp1__burst_uniform_n24 | before | 24 | 24 | 0
dense_dp1__burst_uniform_n24 | after | 24 | 24 | 0
dense_dp1__poisson_fixed_n16_q20 | before | 16 | 16 | 0
dense_dp1__poisson_fixed_n16_q20 | after | 16 | 16 | 0
dense_dp1__poisson_uniform_n24_q200 | before | 24 | 24 | 0
dense_dp1__poisson_uniform_n24_q200 | after | 24 | 24 | 0
dense_dp1__poisson_uniform_n24_q200_tight_kv | before | 24 | 20 | 0
dense_dp1__poisson_uniform_n24_q200_tight_kv | after | 24 | 24 | 5
dense_dp1__poisson_uniform_n24_q50 | before | 24 | 24 | 0
dense_dp1__poisson_uniform_n24_q50 | after | 24 | 24 | 0
moe_dp2__asymmetric_trace | before | 6 | 6 | 0
moe_dp2__asymmetric_trace | after | 6 | 6 | 0
moe_dp2__burst_fixed_n16 | before | 16 | 16 | 0
moe_dp2__burst_fixed_n16 | after | 16 | 16 | 0
moe_dp2__burst_fixed_n4 | before | 4 | 4 | 0
moe_dp2__burst_fixed_n4 | after | 4 | 4 | 0
moe_dp2__burst_uniform_n24 | before | 24 | 24 | 0
moe_dp2__burst_uniform_n24 | after | 24 | 24 | 0
moe_dp2__poisson_fixed_n16_q20 | before | 16 | 16 | 0
moe_dp2__poisson_fixed_n16_q20 | after | 16 | 16 | 0
moe_dp2__poisson_uniform_n24_q200 | before | 24 | 24 | 0
moe_dp2__poisson_uniform_n24_q200 | after | 24 | 24 | 0
moe_dp2__poisson_uniform_n24_q200_tight_kv | before | 24 | 20 | 0
moe_dp2__poisson_uniform_n24_q200_tight_kv | after | 24 | 24 | 6
moe_dp2__poisson_uniform_n24_q50 | before | 24 | 24 | 0
moe_dp2__poisson_uniform_n24_q50 | after | 24 | 24 | 0
moe_dp4__asymmetric_trace | before | 6 | 6 | 0
moe_dp4__asymmetric_trace | after | 6 | 6 | 0
moe_dp4__burst_fixed_n16 | before | 16 | 16 | 0
moe_dp4__burst_fixed_n16 | after | 16 | 16 | 0
moe_dp4__burst_fixed_n4 | before | 4 | 4 | 0
moe_dp4__burst_fixed_n4 | after | 4 | 4 | 0
moe_dp4__burst_uniform_n24 | before | 24 | 24 | 0
moe_dp4__burst_uniform_n24 | after | 24 | 24 | 0
moe_dp4__poisson_fixed_n16_q20 | before | 16 | 16 | 0
moe_dp4__poisson_fixed_n16_q20 | after | 16 | 16 | 0
moe_dp4__poisson_uniform_n24_q200 | before | 24 | 24 | 0
moe_dp4__poisson_uniform_n24_q200 | after | 24 | 24 | 0
moe_dp4__poisson_uniform_n24_q200_tight_kv | before | 24 | 23 | 1
moe_dp4__poisson_uniform_n24_q200_tight_kv | after | 24 | 24 | 2
moe_dp4__poisson_uniform_n24_q50 | before | 24 | 24 | 0
moe_dp4__poisson_uniform_n24_q50 | after | 24 | 24 | 0
