check,model,burst,round,metric,groundtruth,frontier_after,frontier_base,status,frontier_owner,note
V1,moe,8,0,M1 completion,"""8/8""","""success""","""admission_deadlock""",MATCH,,
V2,moe,8,0,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",null,MATCH,,
V3,moe,8,0,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]",null,MATCH,,
V4,moe,8,0,M4 stage-0 co-start,0.00864423422319438,0.0,null,MATCH,,
V1,moe,8,1,M1 completion,"""8/8""","""success""","""admission_deadlock""",MATCH,,
V2,moe,8,1,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",null,MATCH,,
V3,moe,8,1,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]",null,MATCH,,
V4,moe,8,1,M4 stage-0 co-start,0.035494719435994984,0.0,null,MATCH,,
V1,moe,8,2,M1 completion,"""8/8""","""success""","""admission_deadlock""",MATCH,,
V2,moe,8,2,M2 lane sequences,"{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}","{""lane0/stage0"": [[0], [2], [4], [6]], ""lane0/stage1"": [[0], [2], [4], [6]], ""lane1/stage0"": [[1], [3], [5], [7]], ""lane1/stage1"": [[1], [3], [5], [7]]}",null,MATCH,,
V3,moe,8,2,M3 stage-0 pairing,"[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]","[[[0], [1]], [[2], [3]], [[4], [5]], [[6], [7]]]",null,MATCH,,
V4,moe,8,2,M4 stage-0 co-start,0.06341533360159404,0.0,null,MATCH,,
V5,moe,8,mean,M5 stage-0 co-execution,0.9759339956912042,1.0,null,MATCH,,
